Frequency;Channel A
(MHz);(dBu)

0,00000000;-83,06769562
0,03051758;-83,36930084
0,06103516;-88,54289246
0,09155273;-94,84815979
0,12207031;-91,52759552
0,15258789;-91,24821472
0,18310547;-94,84333038
0,21362305;-97,81289673
0,24414062;-95,90850067
0,27465820;-95,81074524
0,30517578;-97,47312927
0,33569336;-97,57157135
0,36621094;-93,97220612
0,39672852;-91,53320312
0,42724609;-91,61042023
0,45776367;-93,17585754
0,48828125;-93,62098694
0,51879883;-92,43725586
0,54931641;-92,18936157
0,57983398;-94,18334198
0,61035156;-97,10034180
0,64086914;-97,59834290
0,67138672;-96,18888855
0,70190430;-96,14295959
0,73242188;-97,88529968
0,76293945;-99,33109283
0,79345703;-99,11732483
0,82397461;-99,36583710
0,85449219;-101,98667908
0,88500977;-106,37799072
0,91552734;-107,27524567
0,94604492;-104,58221436
0,97656250;-102,88023376
1,00708008;-102,10773468
1,03759766;-101,48493958
1,06811523;-101,53379822
1,09863281;-103,64833069
1,12915039;-107,90565491
1,15966797;-109,87506104
1,19018555;-107,76373291
1,22070312;-102,90279388
1,25122070;-100,32156372
1,28173828;-100,04316711
1,31225586;-100,32186890
1,34277344;-99,96959686
1,37329102;-100,01208496
1,40380859;-101,17491913
1,43432617;-102,74501801
1,46484375;-103,06735992
1,49536133;-102,16613770
1,52587891;-100,98983765
1,55639648;-99,60983276
1,58691406;-98,31597900
1,61743164;-97,24211884
1,64794922;-96,80052185
1,67846680;-97,56594849
1,70898438;-99,22445679
1,73950195;-100,67237091
1,77001953;-100,81465149
1,80053711;-99,97638702
1,83105469;-99,20139313
1,86157227;-99,30683899
1,89208984;-101,48831177
1,92260742;-107,70846558
1,95312500;-115,55869293
1,98364258;-110,99394226
2,01416016;-111,55048370
2,04467773;-115,28446198
2,07519531;-111,15444946
2,10571289;-107,92936707
2,13623047;-108,79161835
2,16674805;-112,60273743
2,19726562;-117,77108765
2,22778320;-108,05207825
2,25830078;-104,48641968
2,28881836;-104,33624268
2,31933594;-104,55001831
2,34985352;-104,18876648
2,38037109;-104,42543793
2,41088867;-104,58308411
2,44140625;-104,24617004
2,47192383;-104,46411133
2,50244141;-104,64434814
2,53295898;-103,05022430
2,56347656;-101,24758911
2,59399414;-100,42729187
2,62451172;-100,80094910
2,65502930;-102,60943604
2,68554688;-106,16453552
2,71606445;-110,91965485
2,74658203;-112,71569061
2,77709961;-109,54718018
2,80761719;-105,78576660
2,83813477;-105,82955170
2,86865234;-115,07153320
2,89916992;-108,60088348
2,92968750;-101,23763275
2,96020508;-98,11958313
2,99072266;-97,11500549
3,02124023;-98,13282013
3,05175781;-101,40257263
3,08227539;-106,43832397
3,11279297;-106,34638977
3,14331055;-104,55298615
3,17382812;-105,74721527
3,20434570;-104,82237244
3,23486328;-99,87367249
3,26538086;-97,55980682
3,29589844;-98,18803406
3,32641602;-101,75011444
3,35693359;-108,75237274
3,38745117;-119,19088745
3,41796875;-129,93325806
3,44848633;-128,13975525
3,47900391;-115,02737427
3,50952148;-108,58154297
3,54003906;-106,28588867
3,57055664;-106,40381622
3,60107422;-106,23352814
3,63159180;-104,78732300
3,66210938;-103,88495636
3,69262695;-104,24578857
3,72314453;-106,41094208
3,75366211;-113,25824738
3,78417969;-112,01051331
3,81469727;-106,84696960
3,84521484;-108,97316742
3,87573242;-130,06089783
3,90625000;-113,16822815
3,93676758;-114,93781281
3,96728516;-106,72117615
3,99780273;-101,57486725
4,02832031;-100,42002869
4,05883789;-100,86460114
4,08935547;-104,43569183
4,11987305;-110,01918793
4,15039062;-104,83328247
4,18090820;-103,39541626
4,21142578;-105,90801239
4,24194336;-104,82803345
4,27246094;-102,63367462
4,30297852;-107,84599304
4,33349609;-106,80258942
4,36401367;-104,43274689
4,39453125;-104,23575592
4,42504883;-102,01697540
4,45556641;-104,28933716
4,48608398;-104,95674133
