Frequency;Channel A
(MHz);(dBu)

0,00000000;-70,01966858
0,03051758;-70,32658386
0,06103516;-75,14109802
0,09155273;-82,90164948
0,12207031;-90,06740570
0,15258789;-92,68592072
0,18310547;-97,01091003
0,21362305;-101,37168121
0,24414062;-97,40169525
0,27465820;-94,29832458
0,30517578;-94,20417786
0,33569336;-96,46089172
0,36621094;-97,08538055
0,39672852;-93,98587036
0,42724609;-93,35891724
0,45776367;-97,24038696
0,48828125;-103,70501709
0,51879883;-95,87614441
0,54931641;-93,45231628
0,57983398;-94,72465515
0,61035156;-97,37944031
0,64086914;-95,79531860
0,67138672;-93,89130402
0,70190430;-94,73995972
0,73242188;-99,22347260
0,76293945;-110,36360931
0,79345703;-114,00463867
0,82397461;-112,04174042
0,85449219;-113,62635803
0,88500977;-112,06752777
0,91552734;-106,93489075
0,94604492;-103,77465820
0,97656250;-103,31722260
1,00708008;-105,09246063
1,03759766;-108,86054993
1,06811523;-118,60299683
1,09863281;-114,61091614
1,12915039;-107,60336304
1,15966797;-105,31101227
1,19018555;-104,77046204
1,22070312;-105,66558075
1,25122070;-108,58176422
1,28173828;-111,35910034
1,31225586;-108,76924133
1,34277344;-103,20878601
1,37329102;-98,71669006
1,40380859;-96,61403656
1,43432617;-96,70005035
1,46484375;-98,82328033
1,49536133;-102,86049652
1,52587891;-105,00291443
1,55639648;-103,78105927
1,58691406;-103,66749573
1,61743164;-104,48746490
1,64794922;-106,55119324
1,67846680;-106,25805664
1,70898438;-102,30157471
1,73950195;-101,07245636
1,77001953;-103,99134827
1,80053711;-115,60496521
1,83105469;-106,22417450
1,86157227;-103,29875946
1,89208984;-105,01220703
1,92260742;-106,89841461
1,95312500;-108,46877289
1,98364258;-111,56071472
2,01416016;-109,20124817
2,04467773;-108,13246155
2,07519531;-111,23902893
2,10571289;-132,84349060
2,13623047;-109,41013336
2,16674805;-103,22081757
2,19726562;-101,14075470
2,22778320;-100,72417450
2,25830078;-100,41580963
2,28881836;-100,76416016
2,31933594;-102,24255371
2,34985352;-104,27699280
2,38037109;-106,22689819
2,41088867;-108,42568207
2,44140625;-111,10119629
2,47192383;-109,88364410
2,50244141;-105,90888977
2,53295898;-103,18695068
2,56347656;-101,51884460
2,59399414;-100,55609131
2,62451172;-100,72563934
2,65502930;-103,54840088
2,68554688;-110,55339050
2,71606445;-108,54648590
2,74658203;-107,02911377
2,77709961;-108,86224365
2,80761719;-110,95175171
2,83813477;-111,80973053
2,86865234;-108,28068542
2,89916992;-104,54608917
2,92968750;-103,35408020
2,96020508;-104,62345886
2,99072266;-105,53982544
3,02124023;-104,08218384
3,05175781;-104,29971313
3,08227539;-108,72017670
3,11279297;-113,76158905
3,14331055;-107,25960541
3,17382812;-104,94680786
3,20434570;-105,11409760
3,23486328;-107,81655121
3,26538086;-111,03204346
3,29589844;-114,97089386
3,32641602;-118,10494232
3,35693359;-106,57452393
3,38745117;-104,33071899
3,41796875;-104,76383972
3,44848633;-104,27767944
3,47900391;-102,80981445
3,50952148;-102,24143982
3,54003906;-102,13302612
3,57055664;-101,16467285
3,60107422;-101,26983643
3,63159180;-103,23646545
3,66210938;-105,55177307
3,69262695;-109,75199890
3,72314453;-112,10388947
3,75366211;-107,80544281
3,78417969;-108,54106140
3,81469727;-115,49270630
3,84521484;-110,92901611
3,87573242;-105,97726440
3,90625000;-107,07109070
3,93676758;-108,72744751
3,96728516;-109,93118286
3,99780273;-113,76307678
4,02832031;-116,34082794
4,05883789;-113,03604126
4,08935547;-110,77627563
4,11987305;-108,71807861
4,15039062;-104,81879425
4,18090820;-101,71333313
4,21142578;-99,48770142
4,24194336;-101,58908081
4,27246094;-112,65328979
4,30297852;-109,27356720
4,33349609;-102,73276520
4,36401367;-98,72969818
4,39453125;-98,96376038
4,42504883;-101,36946869
4,45556641;-104,25133514
4,48608398;-104,70149231
