Frequency;Channel A
(MHz);(dBu)

0,00000000;-85,91955566
0,03051758;-86,46038055
0,06103516;-92,88410187
0,09155273;-92,71990967
0,12207031;-88,28719330
0,15258789;-88,85939026
0,18310547;-94,54972839
0,21362305;-106,71452332
0,24414062;-96,59389496
0,27465820;-95,40634155
0,30517578;-99,13935852
0,33569336;-112,00276184
0,36621094;-96,29151154
0,39672852;-92,15157318
0,42724609;-92,61273193
0,45776367;-98,69644928
0,48828125;-101,48207092
0,51879883;-93,65061951
0,54931641;-92,22996521
0,57983398;-94,70782471
0,61035156;-102,64868164
0,64086914;-112,69692993
0,67138672;-103,17864227
0,70190430;-103,08520508
0,73242188;-103,44526672
0,76293945;-99,67620087
0,79345703;-97,41340637
0,82397461;-98,27742767
0,85449219;-102,81318665
0,88500977;-108,80027771
0,91552734;-105,20027924
0,94604492;-104,06867218
0,97656250;-106,13549042
1,00708008;-109,46434021
1,03759766;-112,38917542
1,06811523;-119,92706299
1,09863281;-113,03126526
1,12915039;-106,35453796
1,15966797;-105,07770538
1,19018555;-107,57130432
1,22070312;-115,23406219
1,25122070;-112,55558777
1,28173828;-104,86907959
1,31225586;-100,91340637
1,34277344;-99,26055145
1,37329102;-99,89432526
1,40380859;-103,09996033
1,43432617;-114,56199646
1,46484375;-103,45008850
1,49536133;-98,25622559
1,52587891;-97,67841339
1,55639648;-99,44972992
1,58691406;-101,96098328
1,61743164;-104,18675232
1,64794922;-105,15281677
1,67846680;-104,28344727
1,70898438;-103,48572540
1,73950195;-103,90521240
1,77001953;-105,37697601
1,80053711;-108,56788635
1,83105469;-114,17459106
1,86157227;-117,36225128
1,89208984;-112,77069855
1,92260742;-109,87156677
1,95312500;-106,52823639
1,98364258;-100,30437469
2,01416016;-97,25950623
2,04467773;-97,94058228
2,07519531;-102,07840729
2,10571289;-107,76862335
2,13623047;-108,54727173
2,16674805;-106,45005798
2,19726562;-106,81213379
2,22778320;-107,69092560
2,25830078;-104,49259949
2,28881836;-101,85166931
2,31933594;-100,64759827
2,34985352;-100,93822479
2,38037109;-104,38370514
2,41088867;-119,94406128
2,44140625;-104,55372620
2,47192383;-101,63463593
2,50244141;-105,17792511
2,53295898;-112,90933228
2,56347656;-106,76132202
2,59399414;-108,31366730
2,62451172;-115,75530243
2,65502930;-106,50397491
2,68554688;-104,75632477
2,71606445;-111,05227661
2,74658203;-109,98268890
2,77709961;-101,18705750
2,80761719;-98,45988464
2,83813477;-97,84362793
2,86865234;-98,31727600
2,89916992;-100,35748291
2,92968750;-106,10820770
2,96020508;-112,37112427
2,99072266;-104,27298737
3,02124023;-102,57171631
3,05175781;-104,29894257
3,08227539;-109,84757233
3,11279297;-114,36947632
3,14331055;-105,88375854
3,17382812;-102,96273804
3,20434570;-103,43823242
3,23486328;-107,81370544
3,26538086;-111,69689178
3,29589844;-105,84629822
3,32641602;-104,66366577
3,35693359;-106,49925995
3,38745117;-108,95294189
3,41796875;-112,80686188
3,44848633;-108,38397980
3,47900391;-101,68638611
3,50952148;-98,54999542
3,54003906;-97,71339417
3,57055664;-98,28120422
3,60107422;-99,47264099
3,63159180;-100,61570740
3,66210938;-100,85793304
3,69262695;-99,95562744
3,72314453;-98,89747620
3,75366211;-98,79136658
3,78417969;-100,01519012
3,81469727;-101,73736572
3,84521484;-102,17115784
3,87573242;-101,83953857
3,90625000;-102,65785980
3,93676758;-105,66214752
3,96728516;-110,00266266
3,99780273;-112,51448059
4,02832031;-112,40215302
4,05883789;-111,08755493
4,08935547;-109,04442596
4,11987305;-108,47763062
4,15039062;-110,88841248
4,18090820;-116,44077301
4,21142578;-113,85131836
4,24194336;-107,46365356
4,27246094;-105,75814819
4,30297852;-109,05159760
4,33349609;-108,79886627
4,36401367;-100,54474640
4,39453125;-97,27912903
4,42504883;-98,33425903
4,45556641;-104,37789917
4,48608398;-106,22417450
