Frequency;Channel A
(MHz);(dBu)

0,00000000;-15,33977413
0,03051758;-15,71484184
0,06103516;-20,93771935
0,09155273;-30,79136086
0,12207031;-49,08229446
0,15258789;-70,15975189
0,18310547;-67,67350769
0,21362305;-65,73348236
0,24414062;-70,41825867
0,27465820;-64,76528931
0,30517578;-65,02021790
0,33569336;-65,86680603
0,36621094;-66,43804932
0,39672852;-71,29342651
0,42724609;-74,11064911
0,45776367;-72,01731110
0,48828125;-69,55239105
0,51879883;-66,76614380
0,54931641;-65,88758087
0,57983398;-72,52040100
0,61035156;-68,83582306
0,64086914;-62,76909637
0,67138672;-62,79840088
0,70190430;-66,60367584
0,73242188;-76,58296204
0,76293945;-70,54253387
0,79345703;-65,39659119
0,82397461;-66,82843018
0,85449219;-77,11396790
0,88500977;-61,21299362
0,91552734;-57,68396759
0,94604492;-59,56524658
0,97656250;-68,58378601
1,00708008;-75,12283325
1,03759766;-70,61455536
1,06811523;-71,75901031
1,09863281;-69,54634857
1,12915039;-66,32319641
1,15966797;-64,37670898
1,19018555;-64,08094788
1,22070312;-66,82664490
1,25122070;-70,34506989
1,28173828;-61,51462173
1,31225586;-57,69657516
1,34277344;-56,52363205
1,37329102;-56,66396713
1,40380859;-57,69077301
1,43432617;-59,49181366
1,46484375;-62,26433563
1,49536133;-67,65197754
1,52587891;-76,23561096
1,55639648;-67,17442322
1,58691406;-64,89987946
1,61743164;-65,99569702
1,64794922;-67,01453400
1,67846680;-66,84885406
1,70898438;-66,74053192
1,73950195;-66,03167725
1,77001953;-64,41560364
1,80053711;-62,00858688
1,83105469;-59,81874847
1,86157227;-58,61195374
1,89208984;-58,69955444
1,92260742;-60,41914368
1,95312500;-64,47900391
1,98364258;-73,01423645
2,01416016;-74,85447693
2,04467773;-66,79230499
2,07519531;-62,59613037
2,10571289;-61,48987198
2,13623047;-63,83496857
2,16674805;-71,63445282
2,19726562;-68,54467773
2,22778320;-62,09654236
2,25830078;-59,65467834
2,28881836;-59,74884033
2,31933594;-62,02507782
2,34985352;-65,38397980
2,38037109;-67,35324097
2,41088867;-69,07527924
2,44140625;-78,93434143
2,47192383;-71,59115601
2,50244141;-66,87007141
2,53295898;-67,45330048
2,56347656;-69,93717957
2,59399414;-75,00560760
2,62451172;-74,06561279
2,65502930;-66,59328461
2,68554688;-63,41357422
2,71606445;-63,00495529
2,74658203;-65,75501251
2,77709961;-74,34361267
2,80761719;-80,97151184
2,83813477;-69,68412018
2,86865234;-62,96612549
2,89916992;-58,81085968
2,92968750;-57,73777008
2,96020508;-60,35295486
2,99072266;-68,61710358
3,02124023;-72,71464539
3,05175781;-69,77581787
3,08227539;-73,51039124
3,11279297;-73,78304291
3,14331055;-66,43490601
3,17382812;-62,98555756
3,20434570;-63,33782578
3,23486328;-66,29652405
3,26538086;-68,43505096
3,29589844;-65,86708832
3,32641602;-63,46233368
3,35693359;-65,31723785
3,38745117;-80,74075317
3,41796875;-67,21472168
3,44848633;-64,64053345
3,47900391;-68,47201538
3,50952148;-67,98101044
3,54003906;-65,32838440
3,57055664;-66,30162048
3,60107422;-65,17951202
3,63159180;-61,68460464
3,66210938;-59,86108398
3,69262695;-59,97587585
3,72314453;-60,53227997
3,75366211;-60,36199951
3,78417969;-59,46183777
3,81469727;-59,96816635
3,84521484;-63,86872864
3,87573242;-68,56185913
3,90625000;-68,04949188
3,93676758;-65,43502808
3,96728516;-65,25996399
3,99780273;-64,34426880
4,02832031;-62,31470490
4,05883789;-62,21202087
4,08935547;-62,18214417
4,11987305;-62,41856384
4,15039062;-62,58510971
4,18090820;-62,55365753
4,21142578;-65,52885437
4,24194336;-70,90898132
4,27246094;-67,57829285
4,30297852;-70,18394470
4,33349609;-70,94127655
4,36401367;-65,72444153
4,39453125;-75,45332336
4,42504883;-62,93372726
4,45556641;-67,12349701
4,48608398;-66,22179413
