Frequency;Channel A
(MHz);(dBu)

0,00000000;-15,30914402
0,03051758;-15,67731953
0,06103516;-20,87899208
0,09155273;-30,71489525
0,12207031;-49,21879196
0,15258789;-56,24626541
0,18310547;-57,13852310
0,21362305;-56,56815338
0,24414062;-57,57134247
0,27465820;-59,27826309
0,30517578;-58,47237396
0,33569336;-58,86095047
0,36621094;-60,65029144
0,39672852;-61,18161011
0,42724609;-61,16962433
0,45776367;-62,40356445
0,48828125;-67,73318481
0,51879883;-79,32286072
0,54931641;-69,73467255
0,57983398;-67,58802795
0,61035156;-63,56405640
0,64086914;-61,62044525
0,67138672;-60,30790329
0,70190430;-57,55281067
0,73242188;-55,41339111
0,76293945;-55,35433197
0,79345703;-58,08860016
0,82397461;-64,82110596
0,85449219;-75,12924194
0,88500977;-73,09892273
0,91552734;-60,82850647
0,94604492;-56,87000275
0,97656250;-57,59631348
1,00708008;-60,09439850
1,03759766;-59,38279724
1,06811523;-60,06198502
1,09863281;-64,69316864
1,12915039;-73,72647095
1,15966797;-68,40575409
1,19018555;-64,10985565
1,22070312;-62,22079468
1,25122070;-62,44565964
1,28173828;-65,69418335
1,31225586;-70,39868164
1,34277344;-65,61453247
1,37329102;-62,23215103
1,40380859;-60,93372726
1,43432617;-60,71762466
1,46484375;-60,77625275
1,49536133;-60,65744781
1,52587891;-60,89324188
1,55639648;-61,89544296
1,58691406;-62,23796844
1,61743164;-61,40925980
1,64794922;-61,60080338
1,67846680;-62,87155533
1,70898438;-63,05655670
1,73950195;-63,09737778
1,77001953;-64,98216248
1,80053711;-67,29648590
1,83105469;-67,73905182
1,86157227;-68,10588837
1,89208984;-69,37115479
1,92260742;-72,28236389
1,95312500;-66,78048706
1,98364258;-60,56362152
2,01416016;-57,70091248
2,04467773;-56,98963547
2,07519531;-57,77320099
2,10571289;-60,48046112
2,13623047;-65,97667694
2,16674805;-66,23660278
2,19726562;-63,41304779
2,22778320;-62,71110916
2,25830078;-62,05451965
2,28881836;-60,73218918
2,31933594;-59,76158524
2,34985352;-59,68003845
2,38037109;-59,71956635
2,41088867;-59,73500061
2,44140625;-60,71644592
2,47192383;-62,74917603
2,50244141;-63,76348114
2,53295898;-61,98135376
2,56347656;-59,72494125
2,59399414;-58,50192642
2,62451172;-58,85254288
2,65502930;-61,50594330
2,68554688;-68,28009796
2,71606445;-72,39218903
2,74658203;-66,44606018
2,77709961;-65,22676849
2,80761719;-67,34046173
2,83813477;-73,97123718
2,86865234;-79,90982819
2,89916992;-70,10759735
2,92968750;-69,88354492
2,96020508;-74,62189484
2,99072266;-64,82086945
3,02124023;-61,17421722
3,05175781;-60,71524048
3,08227539;-60,88299179
3,11279297;-60,37030792
3,14331055;-59,65830231
3,17382812;-59,70685577
3,20434570;-59,91531372
3,23486328;-59,19456482
3,26538086;-58,93917465
3,29589844;-59,98800659
3,32641602;-62,47039032
3,35693359;-65,55466461
3,38745117;-66,55379486
3,41796875;-67,26710510
3,44848633;-70,23552704
3,47900391;-66,05276489
3,50952148;-63,14556503
3,54003906;-62,70262909
3,57055664;-64,33934021
3,60107422;-69,12097931
3,63159180;-68,19158936
3,66210938;-63,57415771
3,69262695;-61,81552124
3,72314453;-61,40805817
3,75366211;-61,48605347
3,78417969;-61,09775925
3,81469727;-60,70711517
3,84521484;-61,48710632
3,87573242;-63,11745453
3,90625000;-64,10926056
3,93676758;-63,64984894
3,96728516;-64,91078186
3,99780273;-81,29808044
4,02832031;-66,71958923
4,05883789;-67,93778992
4,08935547;-73,22521973
4,11987305;-73,75002289
4,15039062;-75,35305786
4,18090820;-71,16347504
4,21142578;-66,16991425
4,24194336;-64,00702667
4,27246094;-59,78882217
4,30297852;-59,18309021
4,33349609;-59,99950790
4,36401367;-62,47353363
4,39453125;-78,03376007
4,42504883;-65,04854584
4,45556641;-67,35191345
4,48608398;-70,18622589
