Frequency;Channel A
(MHz);(dBu)

0,00000000;-11,84763145
0,01525879;-15,09101868
0,03051758;-23,51417542
0,04577637;-41,11149216
0,06103516;-72,12132263
0,07629395;-64,78674316
0,09155273;-70,28495026
0,10681152;-68,04989624
0,12207031;-71,76491547
0,13732910;-69,76190186
0,15258789;-70,65309143
0,16784668;-68,99785614
0,18310547;-67,91053009
0,19836426;-70,51648712
0,21362305;-74,61713409
0,22888184;-73,36484528
0,24414062;-68,03895569
0,25939941;-65,06291962
0,27465820;-66,08959961
0,28991699;-70,49156952
0,30517578;-66,10590363
0,32043457;-64,95524597
0,33569336;-69,24486542
0,35095215;-71,65852356
0,36621094;-65,51464081
0,38146973;-63,23549271
0,39672852;-63,05934143
0,41198730;-64,71331787
0,42724609;-67,88448334
0,44250488;-70,63162994
0,45776367;-82,57269287
0,47302246;-72,20078278
0,48828125;-66,95394135
0,50354004;-67,30687714
0,51879883;-70,19715881
0,53405762;-68,96209717
0,54931641;-68,02565002
0,56457520;-70,17640686
0,57983398;-71,51431274
0,59509277;-68,19063568
0,61035156;-67,78296661
0,62561035;-70,94709778
0,64086914;-70,15616608
0,65612793;-72,23367310
0,67138672;-67,39081573
0,68664551;-64,01306915
0,70190430;-66,11628723
0,71716309;-73,34790802
0,73242188;-69,08206177
0,74768066;-65,45169830
0,76293945;-65,11557770
0,77819824;-66,43025970
0,79345703;-68,38865662
0,80871582;-66,65930939
0,82397461;-65,04809570
0,83923340;-64,59666443
0,85449219;-63,12459564
0,86975098;-62,22161865
0,88500977;-63,51772690
0,90026855;-68,06961060
0,91552734;-71,29782104
0,93078613;-74,58288574
0,94604492;-77,15576172
0,96130371;-69,57243347
0,97656250;-65,42439270
0,99182129;-61,65252686
1,00708008;-60,69694519
1,02233887;-62,67281342
1,03759766;-66,02758026
1,05285645;-68,01860046
1,06811523;-69,23611450
1,08337402;-71,69169617
1,09863281;-71,77188110
1,11389160;-71,66684723
1,12915039;-72,39108276
1,14440918;-71,20289612
1,15966797;-70,01210022
1,17492676;-68,49475861
1,19018555;-67,46748352
1,20544434;-66,44995880
1,22070312;-67,41551208
1,23596191;-70,62561035
1,25122070;-73,92912292
1,26647949;-77,08347321
1,28173828;-78,17381287
1,29699707;-74,90677643
1,31225586;-73,58329010
1,32751465;-73,28820801
1,34277344;-72,41264343
1,35803223;-71,20563507
1,37329102;-72,13364410
1,38854980;-72,81779480
1,40380859;-70,06057739
1,41906738;-67,84827423
1,43432617;-66,60816956
1,44958496;-66,93180847
1,46484375;-67,81090546
1,48010254;-69,19234467
1,49536133;-72,99650574
1,51062012;-67,04484558
1,52587891;-65,09542847
1,54113770;-67,83082581
1,55639648;-77,21309662
1,57165527;-85,76643372
1,58691406;-88,38839722
1,60217285;-76,21768951
1,61743164;-72,03842926
1,63269043;-66,54721069
1,64794922;-66,14094543
1,66320801;-73,86763763
1,67846680;-80,21997070
1,69372559;-71,47843170
1,70898438;-66,28691864
1,72424316;-65,13140869
1,73950195;-70,47877502
1,75476074;-76,97722626
1,77001953;-67,46334076
1,78527832;-68,30025482
1,80053711;-73,41692352
1,81579590;-73,72261810
1,83105469;-80,14669800
1,84631348;-77,80922699
1,86157227;-83,85700989
1,87683105;-71,12934875
1,89208984;-70,05335236
1,90734863;-75,48195648
1,92260742;-70,89850616
1,93786621;-66,98558044
1,95312500;-67,11502075
1,96838379;-70,15013123
1,98364258;-73,39522552
1,99890137;-68,56851196
2,01416016;-65,37660217
2,02941895;-66,45906830
2,04467773;-70,26557159
2,05993652;-68,38966370
2,07519531;-67,92053986
2,09045410;-71,02839661
2,10571289;-72,99331665
2,12097168;-72,12237549
2,13623047;-74,70742798
2,15148926;-74,32557678
2,16674805;-68,57609558
2,18200684;-67,13351440
2,19726562;-68,64251709
2,21252441;-75,92234039
2,22778320;-79,11919403
2,24304199;-73,01548767
