Frequency;Channel A
(MHz);(dBu)

0,00000000;-96,20772552
0,03051758;-94,01536560
0,06103516;-91,63511658
0,09155273;-89,04732513
0,12207031;-87,70381927
0,15258789;-88,67027283
0,18310547;-93,47549438
0,21362305;-117,37705231
0,24414062;-96,85360718
0,27465820;-94,27529907
0,30517578;-97,21851349
0,33569336;-102,31369019
0,36621094;-94,43510437
0,39672852;-91,33773041
0,42724609;-92,46900940
0,45776367;-100,72935486
0,48828125;-99,21238708
0,51879883;-91,65297699
0,54931641;-90,47920990
0,57983398;-93,33673096
0,61035156;-102,63429260
0,64086914;-105,99243927
0,67138672;-103,25006104
0,70190430;-107,97531128
0,73242188;-100,07122803
0,76293945;-96,60335541
0,79345703;-96,42642212
0,82397461;-98,37019348
0,85449219;-102,36538696
0,88500977;-109,93325043
0,91552734;-120,03727722
0,94604492;-107,17484283
0,97656250;-102,91168976
1,00708008;-102,20788574
1,03759766;-104,54135895
1,06811523;-109,10964203
1,09863281;-111,06161499
1,12915039;-107,71417236
1,15966797;-105,21520996
1,19018555;-105,67021179
1,22070312;-107,71050262
1,25122070;-107,67384338
1,28173828;-110,22735596
1,31225586;-111,96602631
1,34277344;-105,60965729
1,37329102;-106,33243561
1,40380859;-114,00366211
1,43432617;-107,22420502
1,46484375;-105,43995667
1,49536133;-109,84221649
1,52587891;-112,49821472
1,55639648;-103,03327942
1,58691406;-99,09515381
1,61743164;-98,36448669
1,64794922;-101,22679901
1,67846680;-108,56893921
1,70898438;-101,36352539
1,73950195;-97,79026794
1,77001953;-98,06896210
1,80053711;-101,19072723
1,83105469;-106,99733734
1,86157227;-110,97800446
1,89208984;-108,38351440
1,92260742;-108,27827454
1,95312500;-111,03387451
1,98364258;-115,66680908
2,01416016;-121,89389038
2,04467773;-117,89404297
2,07519531;-110,11621094
2,10571289;-104,62350464
2,13623047;-101,05360413
2,16674805;-99,41517639
2,19726562;-99,32318878
2,22778320;-100,68771362
2,25830078;-104,41348267
2,28881836;-109,40757751
2,31933594;-106,73898315
2,34985352;-106,45256042
2,38037109;-110,87647247
2,41088867;-114,85136414
2,44140625;-110,02252197
2,47192383;-108,55058289
2,50244141;-112,62956238
2,53295898;-121,63819122
2,56347656;-109,76507568
2,59399414;-109,38774872
2,62451172;-114,27918243
2,65502930;-119,70619202
2,68554688;-114,46046448
2,71606445;-109,74275208
2,74658203;-109,14871979
2,77709961;-108,34651184
2,80761719;-103,63034058
2,83813477;-101,53420258
2,86865234;-103,24443817
2,89916992;-110,92769623
2,92968750;-108,04351807
2,96020508;-103,29786682
2,99072266;-104,04819489
3,02124023;-109,28085327
3,05175781;-110,17393494
3,08227539;-105,43434143
3,11279297;-103,12397003
3,14331055;-102,42199707
3,17382812;-103,06755829
3,20434570;-103,62191010
3,23486328;-102,15768433
3,26538086;-100,41394043
3,29589844;-99,27700043
3,32641602;-98,70709229
3,35693359;-99,00913239
3,38745117;-99,92295074
3,41796875;-100,59078979
3,44848633;-101,30073547
3,47900391;-102,20584869
3,50952148;-102,46607971
3,54003906;-102,84626007
3,57055664;-104,95095062
3,60107422;-109,03006744
3,63159180;-106,71947479
3,66210938;-102,24231720
3,69262695;-100,34239960
3,72314453;-100,46748352
3,75366211;-102,43637848
3,78417969;-107,77163696
3,81469727;-110,63249207
3,84521484;-105,10382843
3,87573242;-103,37586975
3,90625000;-103,31480408
3,93676758;-104,23171234
3,96728516;-106,31256104
3,99780273;-106,97989655
4,02832031;-104,56299591
4,05883789;-102,85848999
4,08935547;-102,50682831
4,11987305;-103,41748047
4,15039062;-106,22238922
4,18090820;-110,95200348
4,21142578;-112,46886444
4,24194336;-111,07597351
4,27246094;-110,33804321
4,30297852;-111,06169128
4,33349609;-115,24073792
4,36401367;-137,54747009
4,39453125;-122,04360962
4,42504883;-133,52842712
4,45556641;-122,42384338
4,48608398;-122,24043274
