Frequency;Channel A
(MHz);(dBu)

0,00000000;-71,49497223
0,03051758;-71,84695435
0,06103516;-77,05779266
0,09155273;-87,14775848
0,12207031;-92,38439941
0,15258789;-91,32572174
0,18310547;-95,93437195
0,21362305;-118,03291321
0,24414062;-96,61471558
0,27465820;-94,54509735
0,30517578;-97,06358337
0,33569336;-99,55031586
0,36621094;-94,42102051
0,39672852;-91,19594574
0,42724609;-91,15275574
0,45776367;-94,96548462
0,48828125;-102,02049255
0,51879883;-94,47560120
0,54931641;-91,86973572
0,57983398;-93,68373871
0,61035156;-100,71746826
0,64086914;-101,33225250
0,67138672;-96,46798706
0,70190430;-96,66370392
0,73242188;-101,04259491
0,76293945;-105,45812988
0,79345703;-98,04942322
0,82397461;-95,28094482
0,85449219;-96,63597107
0,88500977;-101,93270874
0,91552734;-108,77171326
0,94604492;-110,64563751
0,97656250;-114,41725159
1,00708008;-110,07096100
1,03759766;-106,71682739
1,06811523;-105,30969238
1,09863281;-103,61244202
1,12915039;-101,63722229
1,15966797;-100,80535126
1,19018555;-101,67372131
1,22070312;-103,24467468
1,25122070;-105,17874908
1,28173828;-111,46401978
1,31225586;-115,25047302
1,34277344;-105,64116669
1,37329102;-103,60404968
1,40380859;-105,23071289
1,43432617;-110,65769958
1,46484375;-119,39797974
1,49536133;-114,34058380
1,52587891;-111,79932404
1,55639648;-114,62928772
1,58691406;-125,37152100
1,61743164;-109,05631256
1,64794922;-103,87417603
1,67846680;-101,67759705
1,70898438;-101,02073669
1,73950195;-100,77748108
1,77001953;-100,67308044
1,80053711;-102,46631622
1,83105469;-110,81631470
1,86157227;-110,27519989
1,89208984;-103,47774506
1,92260742;-103,05186462
1,95312500;-104,43383026
1,98364258;-105,10802460
2,01416016;-104,13536072
2,04467773;-102,50939178
2,07519531;-101,82843018
2,10571289;-103,78020477
2,13623047;-113,39966583
2,16674805;-108,08459473
2,19726562;-101,29425049
2,22778320;-99,38079071
2,25830078;-100,05641174
2,28881836;-102,96326447
2,31933594;-107,78639221
2,34985352;-113,06969452
2,38037109;-114,38021851
2,41088867;-108,93134308
2,44140625;-104,83816528
2,47192383;-103,54266357
2,50244141;-104,98628235
2,53295898;-103,83131409
2,56347656;-100,67600250
2,59399414;-100,51932526
2,62451172;-103,39720154
2,65502930;-108,97955322
2,68554688;-113,56749725
2,71606445;-106,46788025
2,74658203;-103,93225861
2,77709961;-106,22892761
2,80761719;-116,32360840
2,83813477;-107,26496887
2,86865234;-102,92857361
2,89916992;-103,15993500
2,92968750;-106,36160278
2,96020508;-104,57367706
2,99072266;-101,17106628
3,02124023;-100,32963562
3,05175781;-100,33985138
3,08227539;-99,31814575
3,11279297;-98,55454254
3,14331055;-99,30609894
3,17382812;-101,86634064
3,20434570;-104,75961304
3,23486328;-101,64170074
3,26538086;-98,70805359
3,29589844;-98,63590240
3,32641602;-101,44917297
3,35693359;-107,72073364
3,38745117;-113,46337891
3,41796875;-105,63636017
3,44848633;-103,90303040
3,47900391;-106,56517792
3,50952148;-110,62949371
3,54003906;-107,85872650
3,57055664;-104,28166199
3,60107422;-102,37232971
3,63159180;-102,27005005
3,66210938;-104,85026550
3,69262695;-110,64617157
3,72314453;-116,71621704
3,75366211;-130,90917969
3,78417969;-118,21342468
3,81469727;-108,18733978
3,84521484;-102,40345001
3,87573242;-100,57656097
3,90625000;-101,06848145
3,93676758;-99,51789093
3,96728516;-97,35256195
3,99780273;-97,18505096
4,02832031;-98,91107178
4,05883789;-101,31244659
4,08935547;-102,79876709
4,11987305;-105,32647705
4,15039062;-111,84088135
4,18090820;-111,45594788
4,21142578;-103,32411957
4,24194336;-101,18064117
4,27246094;-104,82803345
4,30297852;-111,85136414
4,33349609;-103,48716736
4,36401367;-102,02098083
4,39453125;-104,94697571
4,42504883;-117,07737732
4,45556641;-106,77033234
4,48608398;-100,34035492
