Frequency;Channel A
(MHz);(dBu)

0,00000000;-76,21577454
0,03051758;-76,68788910
0,06103516;-82,58285522
0,09155273;-96,22539520
0,12207031;-92,27494049
0,15258789;-91,25988007
0,18310547;-92,97518921
0,21362305;-93,37490845
0,24414062;-92,04283905
0,27465820;-91,51377869
0,30517578;-92,47769165
0,33569336;-92,84571838
0,36621094;-91,00463867
0,39672852;-90,06072235
0,42724609;-91,85632324
0,45776367;-97,39944458
0,48828125;-100,80631256
0,51879883;-95,49213409
0,54931641;-93,93749237
0,57983398;-95,90859222
0,61035156;-98,99791718
0,64086914;-96,80749512
0,67138672;-95,17829895
0,70190430;-96,59870148
0,73242188;-102,38829041
0,76293945;-116,21703339
0,79345703;-107,36039734
0,82397461;-108,29123688
0,85449219;-114,63377380
0,88500977;-112,27115631
0,91552734;-111,13571930
0,94604492;-116,90281677
0,97656250;-127,19165039
1,00708008;-115,90937805
1,03759766;-111,14897156
1,06811523;-108,78697205
1,09863281;-110,61611938
1,12915039;-121,84017944
1,15966797;-114,07169342
1,19018555;-111,22238159
1,22070312;-113,40841675
1,25122070;-113,78779602
1,28173828;-115,94382477
1,31225586;-109,04785156
1,34277344;-102,29209900
1,37329102;-100,79403687
1,40380859;-103,61198425
1,43432617;-111,89212036
1,46484375;-120,04817963
1,49536133;-113,69659424
1,52587891;-109,22805786
1,55639648;-104,10021973
1,58691406;-100,35577393
1,61743164;-99,09003448
1,64794922;-100,68992615
1,67846680;-105,91407776
1,70898438;-118,68767548
1,73950195;-114,27220154
1,77001953;-111,23596191
1,80053711;-112,85841370
1,83105469;-113,83566284
1,86157227;-110,26545715
1,89208984;-107,81806183
1,92260742;-105,77284241
1,95312500;-103,95504761
1,98364258;-103,63534546
2,01416016;-105,79377747
2,04467773;-111,22038269
2,07519531;-126,06765747
2,10571289;-115,11275482
2,13623047;-108,80349731
2,16674805;-105,43046570
2,19726562;-102,36679840
2,22778320;-100,16616821
2,25830078;-99,76777649
2,28881836;-101,86179352
2,31933594;-107,30353546
2,34985352;-116,59877014
2,38037109;-121,06517029
2,41088867;-107,80441284
2,44140625;-104,93842316
2,47192383;-107,29240417
2,50244141;-113,94150543
2,53295898;-117,92171478
2,56347656;-111,85199738
2,59399414;-108,14973450
2,62451172;-108,00614929
2,65502930;-104,16130066
2,68554688;-100,04695129
2,71606445;-98,94013214
2,74658203;-100,23049164
2,77709961;-102,53502655
2,80761719;-103,55168152
2,83813477;-103,37817383
2,86865234;-104,08630371
2,89916992;-106,07324219
2,92968750;-106,01764679
2,96020508;-104,00772858
2,99072266;-101,88713074
3,02124023;-100,93539429
3,05175781;-101,56985474
3,08227539;-102,60244751
3,11279297;-102,99583435
3,14331055;-103,27192688
3,17382812;-103,46337128
3,20434570;-103,75909424
3,23486328;-103,75799561
3,26538086;-103,21701813
3,29589844;-103,92136383
3,32641602;-106,70397949
3,35693359;-109,37608337
3,38745117;-106,79617310
3,41796875;-103,19591522
3,44848633;-101,51437378
3,47900391;-101,79846191
3,50952148;-103,75236511
3,54003906;-107,58187103
3,57055664;-116,70133972
3,60107422;-114,12070465
3,63159180;-110,08378601
3,66210938;-106,48628998
3,69262695;-104,23089600
3,72314453;-103,42576599
3,75366211;-102,72584534
3,78417969;-103,07577515
3,81469727;-103,76731110
3,84521484;-102,82280731
3,87573242;-101,87178802
3,90625000;-103,30668640
3,93676758;-108,14065552
3,96728516;-126,06098175
3,99780273;-108,87269592
4,02832031;-105,21420288
4,05883789;-109,05130005
4,08935547;-109,79884338
4,11987305;-104,74983215
4,15039062;-102,18044281
4,18090820;-101,44808960
4,21142578;-102,26770020
4,24194336;-101,09907532
4,27246094;-98,58042908
4,30297852;-98,98188782
4,33349609;-100,10170746
4,36401367;-100,65158844
4,39453125;-103,01628876
4,42504883;-106,61145020
4,45556641;-100,88443756
4,48608398;-101,09284210
