Frequency;Channel A
(MHz);(dBu)

0,00000000;-109,49726105
0,03051758;-101,68830872
0,06103516;-93,72489929
0,09155273;-88,47236633
0,12207031;-85,87162781
0,15258789;-85,88574219
0,18310547;-88,76385498
0,21362305;-94,67998505
0,24414062;-96,11225891
0,27465820;-93,93120575
0,30517578;-94,96774292
0,33569336;-100,11389160
0,36621094;-99,34691620
0,39672852;-93,41812134
0,42724609;-92,05375671
0,45776367;-94,83580780
0,48828125;-100,40503693
0,51879883;-94,49113464
0,54931641;-92,07505798
0,57983398;-93,99298096
0,61035156;-101,16995239
0,64086914;-107,23504639
0,67138672;-97,32575226
0,70190430;-93,23429871
0,73242188;-91,67990875
0,76293945;-92,79102325
0,79345703;-97,10872650
0,82397461;-100,31770325
0,85449219;-98,22579193
0,88500977;-98,07672119
0,91552734;-99,13036346
0,94604492;-100,33779907
0,97656250;-102,57385254
1,00708008;-106,27639771
1,03759766;-108,98131561
1,06811523;-108,31625366
1,09863281;-104,65649414
1,12915039;-101,02852631
1,15966797;-99,95597839
1,19018555;-101,40450287
1,22070312;-104,45910645
1,25122070;-106,97586823
1,28173828;-109,36473083
1,31225586;-116,44132996
1,34277344;-120,92289734
1,37329102;-114,24884796
1,40380859;-121,90682220
1,43432617;-111,20514679
1,46484375;-103,26229858
1,49536133;-100,73936462
1,52587891;-101,22196960
1,55639648;-103,65382385
1,58691406;-106,88807678
1,61743164;-107,90538025
1,64794922;-104,14585114
1,67846680;-100,94842529
1,70898438;-101,22001648
1,73950195;-108,27880096
1,77001953;-105,68213654
1,80053711;-99,02471924
1,83105469;-97,76314545
1,86157227;-99,03763580
1,89208984;-101,69142151
1,92260742;-105,04528809
1,95312500;-108,07263184
1,98364258;-110,10154724
2,01416016;-109,45656586
2,04467773;-104,45510101
2,07519531;-100,20555115
2,10571289;-98,08475494
2,13623047;-97,70117950
2,16674805;-98,38225555
2,19726562;-99,84459686
2,22778320;-102,61305237
2,25830078;-106,12694550
2,28881836;-103,77693176
2,31933594;-101,06003571
2,34985352;-100,87542725
2,38037109;-101,18190002
2,41088867;-99,95594788
2,44140625;-98,57474518
2,47192383;-97,56112671
2,50244141;-97,53165436
2,53295898;-99,85330200
2,56347656;-105,93415833
2,59399414;-116,45343018
2,62451172;-125,19169617
2,65502930;-113,11473846
2,68554688;-110,14591980
2,71606445;-111,74819946
2,74658203;-109,45652771
2,77709961;-105,81224060
2,80761719;-103,15555573
2,83813477;-100,98312378
2,86865234;-100,76422882
2,89916992;-102,84414673
2,92968750;-105,12916565
2,96020508;-109,65251923
2,99072266;-118,37709045
3,02124023;-105,65968323
3,05175781;-104,01698303
3,08227539;-105,80023193
3,11279297;-107,44266510
3,14331055;-107,72495270
3,17382812;-107,41316223
3,20434570;-103,95497131
3,23486328;-99,93092346
3,26538086;-97,57229614
3,29589844;-97,19784546
3,32641602;-99,01474762
3,35693359;-103,20343781
3,38745117;-104,19390869
3,41796875;-102,02885437
3,44848633;-102,72476959
3,47900391;-103,39930725
3,50952148;-102,24987793
3,54003906;-101,00451660
3,57055664;-99,55300140
3,60107422;-98,86178589
3,63159180;-99,39781952
3,66210938;-101,83888245
3,69262695;-108,57717896
3,72314453;-113,91760254
3,75366211;-108,49398804
3,78417969;-107,66499329
3,81469727;-107,21069336
3,84521484;-105,73999023
3,87573242;-104,53398895
3,90625000;-104,07801819
3,93676758;-103,86277008
3,96728516;-104,97982788
3,99780273;-109,36135864
4,02832031;-116,69953156
4,05883789;-114,28164673
4,08935547;-117,85569000
4,11987305;-110,35384369
4,15039062;-103,50551605
4,18090820;-102,30569458
4,21142578;-104,11823273
4,24194336;-104,83409119
4,27246094;-105,06111908
4,30297852;-108,53237915
4,33349609;-115,56820679
4,36401367;-111,57748413
4,39453125;-107,80384827
4,42504883;-107,69141388
4,45556641;-110,12420654
4,48608398;-111,24611664
