Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,32553577
0,01525879;-15,58280182
0,03051758;-24,07560349
0,04577637;-42,01387405
0,06103516;-65,10211945
0,07629395;-59,91342926
0,09155273;-66,31562805
0,10681152;-66,37957001
0,12207031;-73,73459625
0,13732910;-75,81452179
0,15258789;-69,46749115
0,16784668;-66,70965576
0,18310547;-66,49340820
0,19836426;-63,01872635
0,21362305;-62,34195709
0,22888184;-62,38841629
0,24414062;-60,27658081
0,25939941;-58,93367004
0,27465820;-59,56736755
0,28991699;-60,12153625
0,30517578;-61,38820267
0,32043457;-65,58308411
0,33569336;-77,46895599
0,35095215;-68,67887878
0,36621094;-71,62229919
0,38146973;-74,23752594
0,39672852;-68,61283875
0,41198730;-67,97282410
0,42724609;-64,97740173
0,44250488;-62,50061798
0,45776367;-62,48575211
0,47302246;-66,92808533
0,48828125;-69,75461578
0,50354004;-66,28231812
0,51879883;-65,17338562
0,53405762;-64,24188995
0,54931641;-64,62454987
0,56457520;-65,44889069
0,57983398;-64,69897461
0,59509277;-63,97869110
0,61035156;-64,89776611
0,62561035;-65,93772888
0,64086914;-65,51825714
0,65612793;-67,14794922
0,67138672;-69,92835236
0,68664551;-67,64251709
0,70190430;-66,00360107
0,71716309;-64,59399414
0,73242188;-63,51127625
0,74768066;-63,26158142
0,76293945;-65,29460144
0,77819824;-68,74723816
0,79345703;-65,75143433
0,80871582;-65,80266571
0,82397461;-71,21395874
0,83923340;-71,70398712
0,85449219;-68,77276611
0,86975098;-71,41535950
0,88500977;-76,12884521
0,90026855;-75,85639191
0,91552734;-71,54535675
0,93078613;-67,73582458
0,94604492;-67,07541656
0,96130371;-70,11959076
0,97656250;-69,05935669
0,99182129;-69,05225372
1,00708008;-80,30719757
1,02233887;-71,09677124
1,03759766;-65,72978210
1,05285645;-67,74810028
1,06811523;-79,28193665
1,08337402;-75,81762695
1,09863281;-76,50196838
1,11389160;-70,23735809
1,12915039;-71,26060486
1,14440918;-78,22138977
1,15966797;-68,90524292
1,17492676;-67,75076294
1,19018555;-72,19817352
1,20544434;-75,01993561
1,22070312;-67,43167114
1,23596191;-64,55420685
1,25122070;-63,43587494
1,26647949;-63,79183960
1,28173828;-64,22753906
1,29699707;-64,37041473
1,31225586;-67,13053131
1,32751465;-70,06513977
1,34277344;-69,91146851
1,35803223;-71,75656128
1,37329102;-76,25903320
1,38854980;-87,54203796
1,40380859;-73,61357117
1,41906738;-72,36637878
1,43432617;-79,20391846
1,44958496;-72,88925171
1,46484375;-74,31597900
1,48010254;-75,80310822
1,49536133;-70,72085571
1,51062012;-75,86985016
1,52587891;-68,36646271
1,54113770;-66,89694214
1,55639648;-73,74101257
1,57165527;-75,75603485
1,58691406;-70,18716431
1,60217285;-77,67431641
1,61743164;-71,11004639
1,63269043;-65,14739990
1,64794922;-66,22120667
1,66320801;-70,40681458
1,67846680;-74,04894257
1,69372559;-71,45586395
1,70898438;-76,99134064
1,72424316;-75,23316956
1,73950195;-71,51348114
1,75476074;-70,55821991
1,77001953;-69,55231476
1,78527832;-75,94334412
1,80053711;-69,71459961
1,81579590;-63,17872620
1,83105469;-62,14762115
1,84631348;-64,32189941
1,86157227;-68,82415009
1,87683105;-77,24055481
1,89208984;-77,90484619
1,90734863;-82,62683105
1,92260742;-68,53521729
1,93786621;-61,98530579
1,95312500;-60,12863159
1,96838379;-61,15281677
1,98364258;-64,19180298
1,99890137;-67,34442902
2,01416016;-68,56208038
2,02941895;-70,65009308
2,04467773;-75,63246918
2,05993652;-74,83064270
2,07519531;-76,69302368
2,09045410;-89,18806458
2,10571289;-85,27114868
2,12097168;-82,60404968
2,13623047;-81,50976562
2,15148926;-79,38339233
2,16674805;-70,46952820
2,18200684;-64,90278625
2,19726562;-63,18798828
2,21252441;-63,63777542
2,22778320;-63,52045059
2,24304199;-62,63555527
