Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,39562130
0,01525879;-15,64070511
0,03051758;-24,05857468
0,04577637;-41,33235931
0,06103516;-58,98101425
0,07629395;-59,25980377
0,09155273;-66,02903748
0,10681152;-60,89049911
0,12207031;-61,98358154
0,13732910;-63,52899551
0,15258789;-63,42971802
0,16784668;-62,37583160
0,18310547;-63,55331421
0,19836426;-63,59650421
0,21362305;-64,74445343
0,22888184;-75,78398895
0,24414062;-78,13797760
0,25939941;-74,51808167
0,27465820;-69,96035767
0,28991699;-66,31259155
0,30517578;-63,18247223
0,32043457;-62,64204025
0,33569336;-64,41285706
0,35095215;-63,90498352
0,36621094;-64,90525055
0,38146973;-69,63020325
0,39672852;-74,94187927
0,41198730;-72,14956665
0,42724609;-73,95585632
0,44250488;-78,45420074
0,45776367;-69,11595917
0,47302246;-67,80767059
0,48828125;-80,11402130
0,50354004;-69,69897461
0,51879883;-65,60384369
0,53405762;-67,91015625
0,54931641;-72,25258636
0,56457520;-68,94384766
0,57983398;-67,88349915
0,59509277;-68,21170807
0,61035156;-71,34384918
0,62561035;-74,22448730
0,64086914;-69,52273560
0,65612793;-69,68161774
0,67138672;-72,14984131
0,68664551;-73,04587555
0,70190430;-77,39659119
0,71716309;-70,67935181
0,73242188;-69,04894257
0,74768066;-71,96648407
0,76293945;-73,96920013
0,77819824;-70,38214874
0,79345703;-65,70445251
0,80871582;-62,82368088
0,82397461;-62,64739990
0,83923340;-65,30149841
0,85449219;-68,24904633
0,86975098;-67,67361450
0,88500977;-65,68783569
0,90026855;-65,40086365
0,91552734;-65,83943176
0,93078613;-65,60276794
0,94604492;-68,36872864
0,96130371;-80,93125153
0,97656250;-82,74221802
0,99182129;-78,74530029
1,00708008;-69,23520660
1,02233887;-65,55540466
1,03759766;-64,60204315
1,05285645;-66,63807678
1,06811523;-68,46612549
1,08337402;-67,88888550
1,09863281;-72,39113617
1,11389160;-79,42709351
1,12915039;-74,82788849
1,14440918;-68,37799835
1,15966797;-63,87630844
1,17492676;-63,63855743
1,19018555;-68,55093384
1,20544434;-77,05421448
1,22070312;-72,17393494
1,23596191;-67,79156494
1,25122070;-67,14121246
1,26647949;-69,39500427
1,28173828;-75,18149567
1,29699707;-76,37287140
1,31225586;-73,46475220
1,32751465;-73,05522919
1,34277344;-73,92687988
1,35803223;-76,17165375
1,37329102;-69,52587891
1,38854980;-64,49598694
1,40380859;-63,60739136
1,41906738;-66,10681152
1,43432617;-66,33644867
1,44958496;-65,87676239
1,46484375;-69,02207947
1,48010254;-66,93301392
1,49536133;-66,59779358
1,51062012;-70,04733276
1,52587891;-67,11412811
1,54113770;-65,55187225
1,55639648;-68,24634552
1,57165527;-69,47972107
1,58691406;-67,00671387
1,60217285;-66,47589111
1,61743164;-66,47299194
1,63269043;-66,87844086
1,64794922;-68,06581116
1,66320801;-67,58253479
1,67846680;-65,49025726
1,69372559;-63,41655731
1,70898438;-63,72723007
1,72424316;-67,58628845
1,73950195;-79,24085999
1,75476074;-75,01669312
1,77001953;-67,90273285
1,78527832;-66,37595367
1,80053711;-67,40615082
1,81579590;-68,53204346
1,83105469;-70,12564087
1,84631348;-72,43958282
1,86157227;-69,45910645
1,87683105;-65,70816803
1,89208984;-64,49360657
1,90734863;-64,90168762
1,92260742;-67,89656830
1,93786621;-73,41429138
1,95312500;-65,90525055
1,96838379;-64,12207794
1,98364258;-68,46808624
1,99890137;-77,75711060
2,01416016;-73,88759613
2,02941895;-75,67859650
2,04467773;-75,81966400
2,05993652;-70,34744263
2,07519531;-68,69191742
2,09045410;-70,77843475
2,10571289;-69,56303406
2,12097168;-66,89231110
2,13623047;-70,56385040
2,15148926;-78,14636993
2,16674805;-67,57356262
2,18200684;-68,88340759
2,19726562;-75,52646637
2,21252441;-76,05025482
2,22778320;-72,49270630
2,24304199;-74,19497681
