Frequency;Channel A
(MHz);(dBu)

0,00000000;-73,79754639
0,03051758;-74,27547455
0,06103516;-80,14792633
0,09155273;-95,15953827
0,12207031;-95,53689575
0,15258789;-95,12551880
0,18310547;-98,95392609
0,21362305;-98,07362366
0,24414062;-94,87255859
0,27465820;-93,91691589
0,30517578;-96,49807739
0,33569336;-104,47006989
0,36621094;-97,87802124
0,39672852;-93,35021210
0,42724609;-92,27423096
0,45776367;-92,00526428
0,48828125;-90,95478058
0,51879883;-89,91488647
0,54931641;-90,49552155
0,57983398;-93,47512054
0,61035156;-98,05957031
0,64086914;-99,28681946
0,67138672;-98,19795227
0,70190430;-99,22933960
0,73242188;-102,23339844
0,76293945;-104,79689026
0,79345703;-105,62655640
0,82397461;-106,20540619
0,85449219;-105,46972656
0,88500977;-104,99716949
0,91552734;-107,60100555
0,94604492;-114,76937103
0,97656250;-115,14392853
1,00708008;-111,15391541
1,03759766;-109,92218018
1,06811523;-111,83280182
1,09863281;-122,47831726
1,12915039;-114,22607422
1,15966797;-107,08140564
1,19018555;-103,44554901
1,22070312;-101,42631531
1,25122070;-100,59951782
1,28173828;-100,67521667
1,31225586;-101,79199219
1,34277344;-104,50698853
1,37329102;-109,77805328
1,40380859;-119,49214172
1,43432617;-111,17277527
1,46484375;-105,54259491
1,49536133;-103,19149017
1,52587891;-102,84118652
1,55639648;-103,25486755
1,58691406;-103,89605713
1,61743164;-106,79643250
1,64794922;-118,99314117
1,67846680;-111,78501892
1,70898438;-107,36982727
1,73950195;-107,80684662
1,77001953;-109,96615601
1,80053711;-107,93389893
1,83105469;-103,22753143
1,86157227;-100,69349670
1,89208984;-100,77381897
1,92260742;-103,07183838
1,95312500;-106,21216583
1,98364258;-109,83979797
2,01416016;-120,55377197
2,04467773;-114,18624878
2,07519531;-108,19883728
2,10571289;-104,01831055
2,13623047;-100,21239471
2,16674805;-98,17620087
2,19726562;-97,45751190
2,22778320;-97,09413147
2,25830078;-97,68106079
2,28881836;-100,22589111
2,31933594;-103,88667297
2,34985352;-105,35401154
2,38037109;-105,20315552
2,41088867;-106,23046112
2,44140625;-110,95712280
2,47192383;-113,35282898
2,50244141;-109,69872284
2,53295898;-110,82888794
2,56347656;-109,71694946
2,59399414;-106,30819702
2,62451172;-103,99093628
2,65502930;-103,03599548
2,68554688;-104,48806763
2,71606445;-108,16252136
2,74658203;-112,36790466
2,77709961;-118,81873322
2,80761719;-124,73249817
2,83813477;-122,60276031
2,86865234;-115,14398193
2,89916992;-105,94912720
2,92968750;-100,94058228
2,96020508;-98,25755310
2,99072266;-97,97325897
3,02124023;-101,15376282
3,05175781;-114,39888763
3,08227539;-104,28202820
3,11279297;-100,57806396
3,14331055;-103,77146912
3,17382812;-117,86864471
3,20434570;-106,66061401
3,23486328;-105,79314423
3,26538086;-107,09323120
3,29589844;-104,53864288
3,32641602;-101,72005463
3,35693359;-100,68264771
3,38745117;-101,21139526
3,41796875;-102,28720856
3,44848633;-102,26302338
3,47900391;-101,50605011
3,50952148;-101,51055145
3,54003906;-101,80119324
3,57055664;-100,96856689
3,60107422;-100,78244019
3,63159180;-101,68130493
3,66210938;-102,46418762
3,69262695;-103,38563538
3,72314453;-105,21139526
3,75366211;-107,57370758
3,78417969;-107,74387360
3,81469727;-106,31111145
3,84521484;-106,64096069
3,87573242;-111,44963074
3,90625000;-118,46878815
3,93676758;-114,39009094
3,96728516;-105,65281677
3,99780273;-102,70969391
4,02832031;-104,05083466
4,05883789;-107,03502655
4,08935547;-109,54013062
4,11987305;-110,74964905
4,15039062;-142,12469482
4,18090820;-111,95864868
4,21142578;-129,55651855
4,24194336;-113,28030396
4,27246094;-112,08037567
4,30297852;-106,50276184
4,33349609;-104,18424988
4,36401367;-105,06709290
4,39453125;-102,19868469
4,42504883;-99,56015015
4,45556641;-101,19773865
4,48608398;-104,31388855
