Frequency;Channel A
(MHz);(dBu)

0,00000000;-89,47335815
0,03051758;-89,45084381
0,06103516;-92,21431732
0,09155273;-93,75503540
0,12207031;-92,95362854
0,15258789;-92,93190002
0,18310547;-94,21985626
0,21362305;-94,15219116
0,24414062;-93,53520203
0,27465820;-94,85575867
0,30517578;-98,44707489
0,33569336;-96,59796143
0,36621094;-92,20455170
0,39672852;-90,30777740
0,42724609;-91,43258667
0,45776367;-95,90830994
0,48828125;-96,16249084
0,51879883;-92,17425537
0,54931641;-91,01116943
0,57983398;-92,01544952
0,61035156;-94,41835022
0,64086914;-97,38909912
0,67138672;-100,46145630
0,70190430;-103,41419220
0,73242188;-103,82952881
0,76293945;-103,74029541
0,79345703;-106,74075317
0,82397461;-110,76283264
0,85449219;-109,81774139
0,88500977;-105,34951782
0,91552734;-102,26782227
0,94604492;-102,05280304
0,97656250;-104,65903473
1,00708008;-109,71488953
1,03759766;-111,05679321
1,06811523;-108,62652588
1,09863281;-108,57102203
1,12915039;-109,71051025
1,15966797;-104,48910522
1,19018555;-100,24735260
1,22070312;-99,14073944
1,25122070;-100,68331909
1,28173828;-104,12619781
1,31225586;-105,50724792
1,34277344;-104,08177185
1,37329102;-104,25347137
1,40380859;-106,29306793
1,43432617;-104,86507416
1,46484375;-101,13753510
1,49536133;-100,08715820
1,52587891;-101,69615173
1,55639648;-104,04869843
1,58691406;-103,48998260
1,61743164;-101,47617340
1,64794922;-100,78428650
1,67846680;-101,29520416
1,70898438;-101,72552490
1,73950195;-102,32109070
1,77001953;-103,78225708
1,80053711;-106,44232178
1,83105469;-110,82114410
1,86157227;-117,52838135
1,89208984;-119,25177765
1,92260742;-111,86436462
1,95312500;-110,82177734
1,98364258;-114,38629150
2,01416016;-117,10913086
2,04467773;-117,66071320
2,07519531;-125,69293976
2,10571289;-119,70686340
2,13623047;-110,39630890
2,16674805;-105,09394836
2,19726562;-102,73301697
2,22778320;-102,73712921
2,25830078;-104,56234741
2,28881836;-107,92614746
2,31933594;-111,53762054
2,34985352;-112,25582886
2,38037109;-112,00537872
2,41088867;-107,00169373
2,44140625;-102,90157318
2,47192383;-100,88649750
2,50244141;-99,57833862
2,53295898;-98,94786835
2,56347656;-99,78080750
2,59399414;-102,32697296
2,62451172;-106,13381958
2,65502930;-109,86943054
2,68554688;-105,94938660
2,71606445;-101,72652435
2,74658203;-100,55281830
2,77709961;-101,53456879
2,80761719;-102,35556030
2,83813477;-102,03308105
2,86865234;-102,65610504
2,89916992;-104,38866425
2,92968750;-105,27695465
2,96020508;-105,66513824
2,99072266;-108,54278564
3,02124023;-113,28705597
3,05175781;-107,40110779
3,08227539;-103,15499878
3,11279297;-101,21280670
3,14331055;-101,37584686
3,17382812;-103,56906891
3,20434570;-104,83872986
3,23486328;-103,55247498
3,26538086;-103,16181183
3,29589844;-104,35160828
3,32641602;-107,92227936
3,35693359;-109,57348633
3,38745117;-106,40617371
3,41796875;-107,54222870
3,44848633;-111,41381073
3,47900391;-108,57924652
3,50952148;-107,41741943
3,54003906;-112,46817780
3,57055664;-108,87857056
3,60107422;-103,94786072
3,63159180;-103,25119781
3,66210938;-104,28420258
3,69262695;-106,15632629
3,72314453;-107,71321106
3,75366211;-106,71852112
3,78417969;-104,76704407
3,81469727;-104,78822327
3,84521484;-104,66467285
3,87573242;-103,79833984
3,90625000;-102,69539642
3,93676758;-101,40275574
3,96728516;-101,86732483
3,99780273;-107,84087372
4,02832031;-108,94067383
4,05883789;-104,72761536
4,08935547;-105,91597748
4,11987305;-111,32318115
4,15039062;-103,14027405
4,18090820;-98,82003784
4,21142578;-100,68623352
4,24194336;-106,15277100
4,27246094;-112,69008636
4,30297852;-109,99579620
4,33349609;-107,15442657
4,36401367;-117,70309448
4,39453125;-113,75743866
4,42504883;-109,30032349
4,45556641;-133,45312500
4,48608398;-115,36073303
