Frequency;Channel A
(MHz);(dBu)

0,00000000;-81,21257019
0,03051758;-81,43013763
0,06103516;-85,55889130
0,09155273;-88,99261475
0,12207031;-88,71990204
0,15258789;-89,55046844
0,18310547;-94,64346313
0,21362305;-107,80157471
0,24414062;-94,69850159
0,27465820;-92,63076019
0,30517578;-95,38176727
0,33569336;-105,81963348
0,36621094;-96,65383911
0,39672852;-91,53565216
0,42724609;-90,28303528
0,45776367;-92,05339050
0,48828125;-97,93014526
0,51879883;-97,36723328
0,54931641;-93,14822388
0,57983398;-93,54002380
0,61035156;-97,75097656
0,64086914;-102,48805237
0,67138672;-100,41603851
0,70190430;-100,47725677
0,73242188;-101,45893860
0,76293945;-98,07117462
0,79345703;-95,30564117
0,82397461;-94,90612030
0,85449219;-96,96781921
0,88500977;-102,55990601
0,91552734;-115,47872925
0,94604492;-108,45527649
0,97656250;-109,07655334
1,00708008;-109,60105896
1,03759766;-104,20829773
1,06811523;-103,22650146
1,09863281;-102,18724060
1,12915039;-96,31829071
1,15966797;-91,92796326
1,19018555;-90,47794342
1,22070312;-92,04337311
1,25122070;-96,89607239
1,28173828;-106,20581055
1,31225586;-120,35644531
1,34277344;-106,09587097
1,37329102;-100,85351562
1,40380859;-98,56941223
1,43432617;-97,87834930
1,46484375;-97,72956848
1,49536133;-97,81822205
1,52587891;-98,62285614
1,55639648;-100,51953125
1,58691406;-103,27632141
1,61743164;-105,32383728
1,64794922;-105,51275635
1,67846680;-107,54522705
1,70898438;-108,85657501
1,73950195;-102,19794464
1,77001953;-99,38842010
1,80053711;-99,82678223
1,83105469;-102,36321259
1,86157227;-103,50936890
1,89208984;-100,64472198
1,92260742;-98,83146667
1,95312500;-99,78082275
1,98364258;-104,13571167
2,01416016;-111,81088257
2,04467773;-108,23155212
2,07519531;-101,83112335
2,10571289;-97,77029419
2,13623047;-96,51223755
2,16674805;-98,47161865
2,19726562;-105,16017914
2,22778320;-119,84674072
2,25830078;-114,59742737
2,28881836;-111,05406189
2,31933594;-104,29981232
2,34985352;-102,06965637
2,38037109;-103,46524048
2,41088867;-105,28648376
2,44140625;-102,21183014
2,47192383;-101,56008911
2,50244141;-104,21654510
2,53295898;-106,33723450
2,56347656;-106,62261200
2,59399414;-109,17191315
2,62451172;-113,09364319
2,65502930;-106,12506866
2,68554688;-100,98511505
2,71606445;-98,78298950
2,74658203;-98,72093964
2,77709961;-100,12942505
2,80761719;-102,22451019
2,83813477;-104,31114197
2,86865234;-103,62014008
2,89916992;-100,60395813
2,92968750;-98,76083374
2,96020508;-98,73081970
2,99072266;-100,76528931
3,02124023;-103,31175995
3,05175781;-102,19307709
3,08227539;-101,90215302
3,11279297;-105,03694153
3,14331055;-110,56799316
3,17382812;-110,16075134
3,20434570;-106,39772034
3,23486328;-102,22425842
3,26538086;-98,95496368
3,29589844;-97,30518341
3,32641602;-97,26261902
3,35693359;-98,39430237
3,38745117;-100,40710449
3,41796875;-104,18669128
3,44848633;-112,93177795
3,47900391;-108,46171570
3,50952148;-105,38647461
3,54003906;-108,51965332
3,57055664;-115,73689270
3,60107422;-111,79203033
3,63159180;-108,78791046
3,66210938;-107,89808655
3,69262695;-108,78131866
3,72314453;-106,86306000
3,75366211;-104,29029846
3,78417969;-102,38931274
3,81469727;-100,64522552
3,84521484;-99,80346680
3,87573242;-100,58798981
3,90625000;-103,47860718
3,93676758;-108,78504944
3,96728516;-112,36021423
3,99780273;-110,56710052
4,02832031;-107,27391052
4,05883789;-103,00579834
4,08935547;-100,31428528
4,11987305;-100,22474670
4,15039062;-103,49877930
4,18090820;-111,79690552
4,21142578;-117,48742676
4,24194336;-114,76536560
4,27246094;-122,97052002
4,30297852;-109,95739746
4,33349609;-103,33296204
4,36401367;-102,28042603
4,39453125;-104,84564209
4,42504883;-108,57932281
4,45556641;-108,60136414
4,48608398;-105,13645172
