Frequency;Channel A
(MHz);(dBu)

0,00000000;-72,48731995
0,03051758;-72,90609741
0,06103516;-78,40701294
0,09155273;-88,25590515
0,12207031;-88,28742981
0,15258789;-88,41777039
0,18310547;-93,91557312
0,21362305;-107,46598816
0,24414062;-92,72612000
0,27465820;-90,62634277
0,30517578;-93,43225098
0,33569336;-104,83272552
0,36621094;-100,79338074
0,39672852;-96,54174042
0,42724609;-98,28967285
0,45776367;-107,02926636
0,48828125;-103,56784058
0,51879883;-95,18084717
0,54931641;-92,59049225
0,57983398;-93,45032501
0,61035156;-97,31172180
0,64086914;-100,20141602
0,67138672;-97,50585938
0,70190430;-96,65757751
0,73242188;-98,53196716
0,76293945;-100,76168060
0,79345703;-101,20904541
0,82397461;-104,61388397
0,85449219;-123,98612976
0,88500977;-110,12232971
0,91552734;-109,05269623
0,94604492;-107,60447693
0,97656250;-102,73497009
1,00708008;-99,16644287
1,03759766;-97,73299408
1,06811523;-98,77307892
1,09863281;-102,60981750
1,12915039;-109,95014954
1,15966797;-120,16593170
1,19018555;-117,96040344
1,22070312;-110,90837097
1,25122070;-108,63517761
1,28173828;-111,20278931
1,31225586;-110,76556396
1,34277344;-107,67660522
1,37329102;-109,01203156
1,40380859;-109,70120239
1,43432617;-104,48596191
1,46484375;-99,83882904
1,49536133;-98,88690186
1,52587891;-101,91025543
1,55639648;-106,21616364
1,58691406;-107,64194489
1,61743164;-113,58551788
1,64794922;-116,84180450
1,67846680;-110,62705231
1,70898438;-107,76299286
1,73950195;-106,20683289
1,77001953;-103,37594604
1,80053711;-99,02555847
1,83105469;-96,79085541
1,86157227;-97,04087830
1,89208984;-98,44429779
1,92260742;-100,25706482
1,95312500;-102,93426514
1,98364258;-104,47525787
2,01416016;-102,86679077
2,04467773;-99,60235596
2,07519531;-97,90820312
2,10571289;-98,14594269
2,13623047;-99,66407013
2,16674805;-101,89090729
2,19726562;-104,51251221
2,22778320;-107,15821838
2,25830078;-109,96917725
2,28881836;-111,81153870
2,31933594;-108,63453674
2,34985352;-105,72220612
2,38037109;-104,29573059
2,41088867;-104,86041260
2,44140625;-109,11822510
2,47192383;-111,77235413
2,50244141;-105,90722656
2,53295898;-104,01084900
2,56347656;-104,64642334
2,59399414;-107,19033051
2,62451172;-108,07987213
2,65502930;-103,07739258
2,68554688;-100,19828796
2,71606445;-100,90750122
2,74658203;-105,62554932
2,77709961;-108,98260498
2,80761719;-107,31624603
2,83813477;-107,96301270
2,86865234;-107,58177948
2,89916992;-105,94094849
2,92968750;-104,97169495
2,96020508;-105,20693970
2,99072266;-104,49919891
3,02124023;-102,72813416
3,05175781;-103,56204224
3,08227539;-110,57289886
3,11279297;-113,37303162
3,14331055;-103,94921112
3,17382812;-102,14070129
3,20434570;-103,90554810
3,23486328;-106,32109833
3,26538086;-104,35578918
3,29589844;-101,18438721
3,32641602;-101,07116699
3,35693359;-105,30113983
3,38745117;-116,49801636
3,41796875;-112,36762238
3,44848633;-103,53785706
3,47900391;-100,54436493
3,50952148;-100,23392487
3,54003906;-101,19132233
3,57055664;-102,66182709
3,60107422;-103,96035767
3,63159180;-103,55027008
3,66210938;-104,09822083
3,69262695;-108,62419891
3,72314453;-115,92003632
3,75366211;-113,53096008
3,78417969;-109,53316498
3,81469727;-106,82933807
3,84521484;-104,59352112
3,87573242;-101,85744476
3,90625000;-99,82275391
3,93676758;-99,33589935
3,96728516;-100,19976807
3,99780273;-102,73146820
4,02832031;-105,38768005
4,05883789;-104,48906708
4,08935547;-105,71361542
4,11987305;-109,42516327
4,15039062;-113,81801605
4,18090820;-117,52078247
4,21142578;-111,92565155
4,24194336;-107,31298828
4,27246094;-103,56174469
4,30297852;-102,58180237
4,33349609;-106,14312744
4,36401367;-110,93476105
4,39453125;-111,80003357
4,42504883;-109,22796631
4,45556641;-106,98655701
4,48608398;-102,95936584
