Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,79349518
0,01525879;-16,03862572
0,03051758;-24,44861603
0,04577637;-41,76984406
0,06103516;-73,52758789
0,07629395;-83,22631836
0,09155273;-64,17281342
0,10681152;-79,16716003
0,12207031;-72,91594696
0,13732910;-66,42169189
0,15258789;-71,20088959
0,16784668;-69,20544434
0,18310547;-67,11759949
0,19836426;-71,75814819
0,21362305;-73,06868744
0,22888184;-69,60577393
0,24414062;-67,90216064
0,25939941;-70,16539764
0,27465820;-75,93092346
0,28991699;-80,45340729
0,30517578;-78,28851318
0,32043457;-78,94706726
0,33569336;-89,13941956
0,35095215;-75,22995758
0,36621094;-68,73104095
0,38146973;-68,43444061
0,39672852;-75,12265015
0,41198730;-80,32029724
0,42724609;-80,21625519
0,44250488;-66,71818542
0,45776367;-64,14488983
0,47302246;-67,41872406
0,48828125;-78,42221832
0,50354004;-75,60706329
0,51879883;-73,01659393
0,53405762;-71,63106537
0,54931641;-68,06179047
0,56457520;-64,77391052
0,57983398;-63,53441620
0,59509277;-63,73961639
0,61035156;-63,69111633
0,62561035;-64,27024078
0,64086914;-65,45058441
0,65612793;-66,70364380
0,67138672;-68,93368530
0,68664551;-72,85791779
0,70190430;-74,80258179
0,71716309;-86,61492920
0,73242188;-89,48835754
0,74768066;-74,63875580
0,76293945;-67,35335541
0,77819824;-66,67078400
0,79345703;-70,64817047
0,80871582;-69,39859772
0,82397461;-66,31214142
0,83923340;-66,41702271
0,85449219;-70,51103973
0,86975098;-83,19615173
0,88500977;-80,60281372
0,90026855;-72,70983887
0,91552734;-68,43510437
0,93078613;-65,32309723
0,94604492;-63,75133133
0,96130371;-65,05873871
0,97656250;-66,66495514
0,99182129;-66,42424011
1,00708008;-65,68096924
1,02233887;-65,99990845
1,03759766;-69,37234497
1,05285645;-83,11672974
1,06811523;-76,36569977
1,08337402;-69,65275574
1,09863281;-67,09459686
1,11389160;-67,15369415
1,12915039;-68,13745117
1,14440918;-69,34477234
1,15966797;-77,23172760
1,17492676;-80,43872833
1,19018555;-74,03015900
1,20544434;-75,23844910
1,22070312;-73,65322876
1,23596191;-69,21653748
1,25122070;-64,06775665
1,26647949;-62,02421188
1,28173828;-63,13171387
1,29699707;-65,52471161
1,31225586;-67,49440002
1,32751465;-68,46552277
1,34277344;-66,36984253
1,35803223;-63,40995407
1,37329102;-63,55599976
1,38854980;-66,13047028
1,40380859;-67,97558594
1,41906738;-67,96904755
1,43432617;-68,73510742
1,44958496;-73,33078003
1,46484375;-75,10727692
1,48010254;-73,11674500
1,49536133;-71,32122803
1,51062012;-68,57775116
1,52587891;-67,36399841
1,54113770;-66,99232483
1,55639648;-66,59442902
1,57165527;-67,63500977
1,58691406;-72,12067413
1,60217285;-81,76476288
1,61743164;-76,93789673
1,63269043;-72,55690002
1,64794922;-67,14997101
1,66320801;-64,55055237
1,67846680;-64,97427368
1,69372559;-67,21429443
1,70898438;-69,79165649
1,72424316;-68,86994934
1,73950195;-67,46195984
1,75476074;-71,37631226
1,77001953;-87,68237305
1,78527832;-72,48760986
1,80053711;-65,95976257
1,81579590;-65,27776337
1,83105469;-69,28442383
1,84631348;-72,71709442
1,86157227;-69,98518372
1,87683105;-68,00173187
1,89208984;-67,04807281
1,90734863;-68,05443573
1,92260742;-71,42930603
1,93786621;-72,74130249
1,95312500;-69,28906250
1,96838379;-67,51000214
1,98364258;-67,61557770
1,99890137;-64,06640625
2,01416016;-63,39156723
2,02941895;-65,36659241
2,04467773;-66,09465027
2,05993652;-66,83800507
2,07519531;-66,76275635
2,09045410;-63,98613358
2,10571289;-66,40034485
2,12097168;-72,22601318
2,13623047;-70,48395538
2,15148926;-70,20156860
2,16674805;-69,84983063
2,18200684;-70,14291382
2,19726562;-70,72876740
2,21252441;-69,13546753
2,22778320;-65,65396118
2,24304199;-63,03488159
