Frequency;Channel A
(MHz);(dBu)

0,00000000;-71,99243927
0,03051758;-72,40050507
0,06103516;-77,87696075
0,09155273;-89,29864502
0,12207031;-93,39061737
0,15258789;-92,07789612
0,18310547;-94,89170074
0,21362305;-96,39006805
0,24414062;-94,85639954
0,27465820;-93,82811737
0,30517578;-93,82099152
0,33569336;-93,47342682
0,36621094;-91,81125641
0,39672852;-90,45863342
0,42724609;-90,84977722
0,45776367;-92,58932495
0,48828125;-92,76879120
0,51879883;-91,00205994
0,54931641;-90,52590179
0,57983398;-92,28012085
0,61035156;-95,04541016
0,64086914;-95,05424500
0,67138672;-93,86860657
0,70190430;-94,80393219
0,73242188;-98,40881348
0,76293945;-103,02445984
0,79345703;-105,62875366
0,82397461;-107,59738922
0,85449219;-108,72509003
0,88500977;-111,39762115
0,91552734;-126,15031433
0,94604492;-109,07461548
0,97656250;-101,79630280
1,00708008;-97,78999329
1,03759766;-95,95837402
1,06811523;-96,26451111
1,09863281;-98,67374420
1,12915039;-102,37583160
1,15966797;-103,84598541
1,19018555;-104,34052277
1,22070312;-109,14866638
1,25122070;-115,35109711
1,28173828;-110,40586853
1,31225586;-107,96113586
1,34277344;-104,02950287
1,37329102;-102,07991791
1,40380859;-102,19770813
1,43432617;-104,13819122
1,46484375;-107,08216858
1,49536133;-104,40848541
1,52587891;-101,17554474
1,55639648;-100,23573303
1,58691406;-100,43731689
1,61743164;-101,37851715
1,64794922;-103,22975922
1,67846680;-104,77553558
1,70898438;-105,69595337
1,73950195;-105,17820740
1,77001953;-104,52301788
1,80053711;-108,29452515
1,83105469;-110,32641602
1,86157227;-102,51901245
1,89208984;-99,79218292
1,92260742;-99,46591187
1,95312500;-99,71815491
1,98364258;-100,02731323
2,01416016;-101,49718475
2,04467773;-105,68855286
2,07519531;-117,78071594
2,10571289;-111,40808105
2,13623047;-104,52857208
2,16674805;-101,43744659
2,19726562;-100,70999146
2,22778320;-102,17628479
2,25830078;-104,75804138
2,28881836;-104,83150482
2,31933594;-101,89899445
2,34985352;-99,45632935
2,38037109;-99,80632019
2,41088867;-104,47486115
2,44140625;-106,73649597
2,47192383;-103,11663818
2,50244141;-104,88971710
2,53295898;-111,90643311
2,56347656;-108,77484131
2,59399414;-103,27925110
2,62451172;-101,55597687
2,65502930;-102,84363556
2,68554688;-105,55705261
2,71606445;-109,04901123
2,74658203;-114,78821564
2,77709961;-119,18013000
2,80761719;-108,89901733
2,83813477;-101,37442780
2,86865234;-98,06732178
2,89916992;-98,31214142
2,92968750;-102,59066772
2,96020508;-113,24454498
2,99072266;-119,51380920
3,02124023;-109,07078552
3,05175781;-103,38570404
3,08227539;-102,02732849
3,11279297;-103,30359650
3,14331055;-105,01580811
3,17382812;-103,84812164
3,20434570;-101,40891266
3,23486328;-101,12458801
3,26538086;-104,21302032
3,29589844;-111,89492798
3,32641602;-117,18823242
3,35693359;-113,21112061
3,38745117;-106,81173706
3,41796875;-101,62619781
3,44848633;-99,64583588
3,47900391;-100,42713928
3,50952148;-103,06724548
3,54003906;-105,83674622
3,57055664;-107,39955902
3,60107422;-106,29434204
3,63159180;-104,13101196
3,66210938;-103,90033722
3,69262695;-105,86414337
3,72314453;-108,57725525
3,75366211;-114,26612091
3,78417969;-108,50740051
3,81469727;-104,24313354
3,84521484;-105,06308746
3,87573242;-104,57932281
3,90625000;-97,77480316
3,93676758;-94,60662842
3,96728516;-94,72393799
3,99780273;-97,23777771
4,02832031;-100,94161987
4,05883789;-104,88442993
4,08935547;-111,29696655
4,11987305;-119,83268738
4,15039062;-107,98309326
4,18090820;-106,02890015
4,21142578;-107,02908325
4,24194336;-107,35500336
4,27246094;-103,22406769
4,30297852;-99,50923920
4,33349609;-97,91423798
4,36401367;-98,48464203
4,39453125;-101,72891235
4,42504883;-107,67025757
4,45556641;-111,28208923
4,48608398;-109,60875702
