Time;Channel A
(us);(V)

-4,76549986;3,93731546
-4,76449986;4,04988909
-4,76349986;4,16246319
-4,76249986;4,27472925
-4,76149986;4,27472925
-4,76049986;4,38730335
-4,75949986;4,49987698
-4,75849986;4,61245060
-4,75749986;4,61245060
-4,75649986;4,72471714
-4,75549986;4,72471714
-4,75449986;4,83729076
-4,75349986;4,83729076
-4,75249986;4,83729076
-4,75149986;4,83729076
-4,75049986;4,94986486
-4,74949986;4,94986486
-4,74849986;4,94986486
-4,74749986;4,83729076
-4,74649986;4,94986486
-4,74549986;4,83729076
-4,74449986;4,83729076
-4,74349986;4,83729076
-4,74249986;4,83729076
-4,74149986;4,83729076
-4,74049986;4,72471714
-4,73949986;4,72471714
-4,73849986;4,61245060
-4,73749986;4,72471714
-4,73649986;4,61245060
-4,73549986;4,49987698
-4,73449986;4,49987698
-4,73349986;4,38730335
-4,73249986;4,38730335
-4,73149986;4,27472925
-4,73049986;4,27472925
-4,72949986;4,16246319
-4,72849986;4,04988909
-4,72749986;4,04988909
-4,72649986;3,93731546
-4,72549986;3,82474160
-4,72449986;3,82474160
-4,72349986;3,71247530
-4,72249986;3,71247530
-4,72149986;3,59990168
-4,72049986;3,48732781
-4,71949986;3,37475395
-4,71849986;3,26218009
-4,71749986;3,14991379
-4,71649986;3,03734016
-4,71549986;2,92476630
-4,71449986;2,81219244
-4,71349986;2,69992614
-4,71249986;2,58735228
-4,71149986;2,47477865
-4,71049986;2,36220479
-4,70949986;2,24993849
-4,70849986;2,13736463
-4,70749986;1,91221702
-4,70649986;1,79995084
-4,70549986;1,68737698
-4,70449986;1,57480311
-4,70349986;1,34996307
-4,70249986;1,23738933
-4,70149986;1,12481546
-4,70049986;1,01224160
-4,69949986;0,78740156
-4,69849986;0,67482775
-4,69749986;0,56225395
-4,69649986;0,33741388
-4,69549986;0,22484006
-4,69449986;0,00000000
-4,69349986;-0,11226624
-4,69249986;-0,22484006
-4,69149986;-0,44998771
-4,69049986;-0,67482775
-4,68949986;-0,78740156
-4,68849986;-0,89997542
-4,68749986;-1,12481546
-4,68649986;-1,34996307
-4,68549986;-1,46222937
-4,68449986;-1,57480311
-4,68349986;-1,79995084
-4,68249986;-1,91221702
-4,68149986;-2,13736463
-4,68049986;-2,24993849
-4,67949986;-2,47477865
-4,67849986;-2,58735228
-4,67749986;-2,81219244
-4,67649986;-2,92476630
-4,67549986;-3,03734016
-4,67449986;-3,26218009
-4,67349986;-3,37475395
-4,67249986;-3,48732781
-4,67149986;-3,59990168
-4,67049986;-3,71247530
-4,66949986;-3,82474160
-4,66849986;-3,93731546
-4,66749986;-4,04988909
-4,66649986;-4,16246319
-4,66549986;-4,27472925
-4,66449986;-4,38730335
-4,66349986;-4,38730335
-4,66249986;-4,49987698
-4,66149986;-4,49987698
-4,66049986;-4,61245060
-4,65949986;-4,61245060
-4,65849986;-4,72471714
-4,65749986;-4,72471714
-4,65649986;-4,83729076
-4,65549986;-4,83729076
-4,65449986;-4,83729076
-4,65349986;-4,83729076
-4,65249986;-4,83729076
-4,65149986;-4,83729076
-4,65049986;-4,83729076
-4,64949986;-4,83729076
-4,64849986;-4,72471714
-4,64749986;-4,72471714
-4,64649986;-4,72471714
-4,64549986;-4,72471714
-4,64449986;-4,61245060
-4,64349986;-4,61245060
-4,64249986;-4,61245060
-4,64149986;-4,49987698
-4,64049986;-4,49987698
-4,63949986;-4,38730335
-4,63849986;-4,38730335
-4,63749986;-4,27472925
-4,63649986;-4,27472925
-4,63549986;-4,27472925
-4,63449986;-4,16246319
-4,63349986;-4,04988909
-4,63249986;-4,04988909
-4,63149986;-3,93731546
-4,63049986;-3,93731546
-4,62949986;-3,93731546
-4,62849986;-3,82474160
-4,62749986;-3,82474160
-4,62649986;-3,71247530
-4,62549986;-3,71247530
-4,62449986;-3,71247530
-4,62349986;-3,59990168
-4,62249986;-3,59990168
-4,62149986;-3,48732781
-4,62049986;-3,48732781
-4,61949986;-3,37475395
-4,61849986;-3,26218009
-4,61749986;-3,14991379
-4,61649986;-3,14991379
-4,61549986;-3,03734016
-4,61449986;-3,03734016
-4,61349986;-2,81219244
-4,61249986;-2,81219244
-4,61149986;-2,69992614
-4,61049986;-2,58735228
-4,60949986;-2,47477865
-4,60849986;-2,36220479
-4,60749986;-2,24993849
-4,60649986;-2,13736463
-4,60549986;-2,02479076
-4,60449986;-1,91221702
-4,60349986;-1,79995084
-4,60249986;-1,68737698
-4,60149986;-1,57480311
-4,60049986;-1,46222937
-4,59949986;-1,34996307
-4,59849986;-1,12481546
-4,59749986;-1,01224160
-4,59649986;-0,89997542
-4,59549986;-0,78740156
-4,59449986;-0,56225395
-4,59349986;-0,44998771
-4,59249986;-0,22484006
-4,59149986;-0,11226624
-4,59049986;0,00000000
-4,58949986;0,22484006
-4,58849986;0,33741388
-4,58749986;0,56225395
-4,58649986;0,67482775
-4,58549986;0,78740156
-4,58449986;1,01224160
-4,58349986;1,23738933
-4,58249986;1,34996307
-4,58149986;1,57480311
-4,58049986;1,68737698
-4,57949986;1,91221702
-4,57849986;2,02479076
-4,57749986;2,24993849
-4,57649986;2,36220479
-4,57549986;2,58735228
-4,57449986;2,69992614
-4,57349986;2,81219244
-4,57249986;3,03734016
-4,57149986;3,14991379
-4,57049986;3,26218009
-4,56949986;3,48732781
-4,56849986;3,59990168
-4,56749986;3,71247530
-4,56649986;3,82474160
-4,56549986;3,93731546
-4,56449986;4,04988909
-4,56349986;4,16246319
-4,56249986;4,27472925
-4,56149986;4,38730335
-4,56049987;4,49987698
-4,55949987;4,49987698
-4,55849987;4,61245060
-4,55749987;4,61245060
-4,55649987;4,72471714
-4,55549987;4,72471714
-4,55449987;4,83729076
-4,55349987;4,83729076
-4,55249987;4,83729076
-4,55149987;4,94986486
-4,55049987;4,94986486
-4,54949987;4,94986486
-4,54849987;4,94986486
-4,54749987;4,94986486
-4,54649987;4,94986486
-4,54549987;4,83729076
-4,54449987;4,83729076
-4,54349987;4,83729076
-4,54249987;4,83729076
-4,54149987;4,83729076
-4,54049987;4,72471714
-4,53949987;4,72471714
-4,53849987;4,61245060
-4,53749987;4,61245060
-4,53649987;4,61245060
-4,53549987;4,49987698
-4,53449987;4,49987698
-4,53349987;4,38730335
-4,53249987;4,38730335
-4,53149987;4,27472925
-4,53049987;4,27472925
-4,52949987;4,16246319
-4,52849987;4,04988909
-4,52749987;3,93731546
-4,52649987;3,93731546
-4,52549987;3,82474160
-4,52449987;3,71247530
-4,52349987;3,71247530
-4,52249987;3,59990168
-4,52149987;3,48732781
-4,52049987;3,37475395
-4,51949987;3,26218009
-4,51849987;3,14991379
-4,51749987;3,14991379
-4,51649987;3,03734016
-4,51549987;2,92476630
-4,51449987;2,81219244
-4,51349987;2,58735228
-4,51249987;2,47477865
-4,51149987;2,36220479
-4,51049987;2,24993849
-4,50949987;2,13736463
-4,50849987;2,02479076
-4,50749987;1,91221702
-4,50649987;1,79995084
-4,50549987;1,68737698
-4,50449987;1,46222937
-4,50349987;1,34996307
-4,50249987;1,23738933
-4,50149987;1,01224160
-4,50049987;0,89997542
-4,49949987;0,78740156
-4,49849987;0,56225395
-4,49749987;0,44998771
-4,49649987;0,33741388
-4,49549987;0,11226624
-4,49449987;0,00000000
-4,49349987;-0,22484006
-4,49249987;-0,33741388
-4,49149987;-0,56225395
-4,49049987;-0,67482775
-4,48949987;-0,78740156
-4,48849987;-1,01224160
-4,48749987;-1,12481546
-4,48649987;-1,34996307
-4,48549987;-1,46222937
-4,48449987;-1,68737698
-4,48349987;-1,91221702
-4,48249987;-2,02479076
-4,48149987;-2,13736463
-4,48049987;-2,36220479
-4,47949987;-2,47477865
