Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,14998055
0,01525879;-15,39780998
0,03051758;-23,85537148
0,04577637;-41,98049545
0,06103516;-62,41588974
0,07629395;-65,93131256
0,09155273;-65,31609344
0,10681152;-67,12046051
0,12207031;-64,87894440
0,13732910;-68,34254456
0,15258789;-72,63213348
0,16784668;-74,36051941
0,18310547;-67,89196014
0,19836426;-63,52831268
0,21362305;-64,05291748
0,22888184;-69,89868164
0,24414062;-76,41065979
0,25939941;-75,59859467
0,27465820;-70,65346527
0,28991699;-69,37093353
0,30517578;-70,63865662
0,32043457;-71,40988922
0,33569336;-72,17939758
0,35095215;-73,17707062
0,36621094;-67,40104675
0,38146973;-69,60388947
0,39672852;-71,95348358
0,41198730;-64,72708893
0,42724609;-64,10449219
0,44250488;-65,87671661
0,45776367;-67,48162079
0,47302246;-67,12113190
0,48828125;-67,46389771
0,50354004;-70,21678925
0,51879883;-72,08014679
0,53405762;-74,59298706
0,54931641;-75,64833069
0,56457520;-75,18654633
0,57983398;-87,09590149
0,59509277;-71,13992310
0,61035156;-66,07575989
0,62561035;-65,51033783
0,64086914;-69,78390503
0,65612793;-75,73893738
0,67138672;-69,81946564
0,68664551;-70,21750641
0,70190430;-72,97040558
0,71716309;-70,48275757
0,73242188;-65,88222504
0,74768066;-64,82106781
0,76293945;-68,08921051
0,77819824;-69,65034485
0,79345703;-66,84300232
0,80871582;-68,86460114
0,82397461;-65,23988342
0,83923340;-62,13757324
0,85449219;-64,35964966
0,86975098;-70,96102905
0,88500977;-72,76699829
0,90026855;-73,90502930
0,91552734;-82,10530090
0,93078613;-73,56560516
0,94604492;-69,15988159
0,96130371;-67,09054565
0,97656250;-67,72084045
0,99182129;-69,96766663
1,00708008;-75,04930115
1,02233887;-85,67020416
1,03759766;-77,66616821
1,05285645;-77,70126343
1,06811523;-72,84899902
1,08337402;-71,43483734
1,09863281;-70,25361633
1,11389160;-68,48518372
1,12915039;-68,38597870
1,14440918;-70,78308105
1,15966797;-66,30474854
1,17492676;-60,49837494
1,19018555;-58,80538177
1,20544434;-59,85586548
1,22070312;-62,16792297
1,23596191;-65,47348785
1,25122070;-71,84876251
1,26647949;-86,51348114
1,28173828;-72,09765625
1,29699707;-68,69769287
1,31225586;-67,08827209
1,32751465;-67,51992798
1,34277344;-70,44602966
1,35803223;-83,47668457
1,37329102;-72,64024353
1,38854980;-66,32882690
1,40380859;-65,03113556
1,41906738;-67,16101837
1,43432617;-72,36136627
1,44958496;-73,15522766
1,46484375;-73,38428497
1,48010254;-84,38644409
1,49536133;-72,29404449
1,51062012;-67,66272736
1,52587891;-68,25799561
1,54113770;-69,76390076
1,55639648;-69,62716675
1,57165527;-66,65665436
1,58691406;-64,39208984
1,60217285;-64,97358704
1,61743164;-68,08217621
1,63269043;-68,28799438
1,64794922;-65,82741547
1,66320801;-68,16084290
1,67846680;-85,36288452
1,69372559;-69,36376953
1,70898438;-77,40301514
1,72424316;-70,85134125
1,73950195;-66,20412445
1,75476074;-67,29860687
1,77001953;-69,08850098
1,78527832;-68,93840027
1,80053711;-69,61951447
1,81579590;-73,20465088
1,83105469;-81,29077911
1,84631348;-73,67446136
1,86157227;-70,79402161
1,87683105;-74,09125519
1,89208984;-83,41546631
1,90734863;-87,93345642
1,92260742;-84,20006561
1,93786621;-79,93561554
1,95312500;-82,83615875
1,96838379;-69,11039734
1,98364258;-65,62461853
1,99890137;-66,44524384
2,01416016;-65,13426971
2,02941895;-64,20245361
2,04467773;-69,52577972
2,05993652;-81,73722839
2,07519531;-79,23478699
2,09045410;-72,22686005
2,10571289;-66,27471161
2,12097168;-66,68146515
2,13623047;-73,84741211
2,15148926;-80,21948242
2,16674805;-79,05082703
2,18200684;-70,84075165
2,19726562;-67,34186554
2,21252441;-67,41389465
2,22778320;-69,08329010
2,24304199;-70,17785645
