Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,90114021
0,01525879;-16,13924026
0,03051758;-24,54825974
0,04577637;-42,35573578
0,06103516;-63,25302505
0,07629395;-66,51627350
0,09155273;-66,61732483
0,10681152;-71,27238464
0,12207031;-63,09885406
0,13732910;-63,22659302
0,15258789;-66,37064362
0,16784668;-65,61076355
0,18310547;-70,66799927
0,19836426;-71,76097870
0,21362305;-66,22243500
0,22888184;-68,71221161
0,24414062;-98,84707642
0,25939941;-70,26963043
0,27465820;-67,05918121
0,28991699;-67,89540100
0,30517578;-66,51222992
0,32043457;-67,08998108
0,33569336;-68,46556854
0,35095215;-67,55136108
0,36621094;-67,76797485
0,38146973;-67,75488281
0,39672852;-67,36096191
0,41198730;-66,74713898
0,42724609;-70,05411530
0,44250488;-86,83984375
0,45776367;-84,10443115
0,47302246;-69,04402924
0,48828125;-64,43015289
0,50354004;-64,24462128
0,51879883;-66,69244385
0,53405762;-71,04579926
0,54931641;-72,88928986
0,56457520;-70,58781433
0,57983398;-68,64472198
0,59509277;-67,51037598
0,61035156;-67,46258545
0,62561035;-67,95283508
0,64086914;-70,07504272
0,65612793;-72,41149902
0,67138672;-70,63843536
0,68664551;-69,16331482
0,70190430;-68,43780518
0,71716309;-66,84180450
0,73242188;-66,02825928
0,74768066;-68,59533691
0,76293945;-74,60449982
0,77819824;-71,79680634
0,79345703;-66,87663269
0,80871582;-68,98871613
0,82397461;-73,42008209
0,83923340;-73,47898102
0,85449219;-71,59424591
0,86975098;-67,94168091
0,88500977;-68,31556702
0,90026855;-73,30953217
0,91552734;-87,34500122
0,93078613;-76,04651642
0,94604492;-72,31771088
0,96130371;-71,97080994
0,97656250;-70,81562042
0,99182129;-67,80594635
1,00708008;-67,89078522
1,02233887;-73,80563354
1,03759766;-66,76572418
1,05285645;-66,11491394
1,06811523;-68,06086731
1,08337402;-67,51264191
1,09863281;-66,22000885
1,11389160;-69,54514313
1,12915039;-72,44532776
1,14440918;-67,89664459
1,15966797;-67,11203003
1,17492676;-66,11521912
1,19018555;-66,91751099
1,20544434;-70,72076416
1,22070312;-73,20040894
1,23596191;-71,76817322
1,25122070;-75,36307526
1,26647949;-78,77936554
1,28173828;-77,68361664
1,29699707;-79,99168396
1,31225586;-81,61729431
1,32751465;-70,24515533
1,34277344;-66,29914856
1,35803223;-67,12712860
1,37329102;-73,01820374
1,38854980;-72,18603516
1,40380859;-67,36807251
1,41906738;-69,52411652
1,43432617;-82,14860535
1,44958496;-69,28991699
1,46484375;-71,73529053
1,48010254;-69,78936005
1,49536133;-64,95598602
1,51062012;-65,52367401
1,52587891;-69,56559753
1,54113770;-70,31052399
1,55639648;-68,07064819
1,57165527;-67,82484436
1,58691406;-70,50595093
1,60217285;-80,16994476
1,61743164;-89,11700439
1,63269043;-81,22923279
1,64794922;-71,45796204
1,66320801;-69,71966553
1,67846680;-69,90797424
1,69372559;-69,10873413
1,70898438;-70,78828430
1,72424316;-70,29705811
1,73950195;-68,91699982
1,75476074;-71,28468323
1,77001953;-73,16120911
1,78527832;-74,19267273
1,80053711;-86,10297394
1,81579590;-76,70523834
1,83105469;-74,38235474
1,84631348;-75,12026978
1,86157227;-70,89006805
1,87683105;-71,93309021
1,89208984;-89,67101288
1,90734863;-74,15750122
1,92260742;-72,18333435
1,93786621;-72,96559143
1,95312500;-71,77210236
1,96838379;-71,57085419
1,98364258;-69,81528473
1,99890137;-71,71880341
2,01416016;-70,25878143
2,02941895;-67,93017578
2,04467773;-69,31246948
2,05993652;-75,95009613
2,07519531;-78,03491211
2,09045410;-76,93414307
2,10571289;-78,64060974
2,12097168;-78,60260773
2,13623047;-74,45903015
2,15148926;-67,95775604
2,16674805;-69,25074768
2,18200684;-73,80677795
2,19726562;-107,06340790
2,21252441;-77,20905304
2,22778320;-83,69220734
2,24304199;-72,77905273
