Frequency;Channel A
(MHz);(dBu)

0,00000000;-77,99514771
0,03051758;-78,37268066
0,06103516;-83,31947327
0,09155273;-89,02260590
0,12207031;-89,23606873
0,15258789;-89,71488190
0,18310547;-94,51088715
0,21362305;-106,99801636
0,24414062;-94,67442322
0,27465820;-92,52145386
0,30517578;-94,26098633
0,33569336;-99,08515930
0,36621094;-97,64128113
0,39672852;-93,55050659
0,42724609;-93,31093597
0,45776367;-97,76939392
0,48828125;-98,58444214
0,51879883;-92,61208344
0,54931641;-91,52320862
0,57983398;-94,61002350
0,61035156;-103,72886658
0,64086914;-101,25389862
0,67138672;-97,13479614
0,70190430;-96,82907104
0,73242188;-98,81596375
0,76293945;-103,08188629
0,79345703;-107,77738953
0,82397461;-104,66839600
0,85449219;-102,38653564
0,88500977;-102,78089905
0,91552734;-104,30747223
0,94604492;-105,55961609
0,97656250;-106,04084015
1,00708008;-106,69647980
1,03759766;-107,20935822
1,06811523;-105,80185699
1,09863281;-106,26879883
1,12915039;-110,04347229
1,15966797;-112,50450897
1,19018555;-110,31587219
1,22070312;-106,51895142
1,25122070;-103,51830292
1,28173828;-103,87017059
1,31225586;-110,93544006
1,34277344;-113,82775116
1,37329102;-106,49937439
1,40380859;-107,79382324
1,43432617;-112,74017334
1,46484375;-110,40953064
1,49536133;-107,39723206
1,52587891;-106,91433716
1,55639648;-112,91473389
1,58691406;-110,49197388
1,61743164;-102,06362915
1,64794922;-100,17348480
1,67846680;-102,07500458
1,70898438;-108,36778259
1,73950195;-117,91275024
1,77001953;-108,66320801
1,80053711;-105,53656769
1,83105469;-105,61458588
1,86157227;-106,68266296
1,89208984;-103,62155914
1,92260742;-100,41600037
1,95312500;-100,05548096
1,98364258;-103,22284698
2,01416016;-110,46774292
2,04467773;-110,07668304
2,07519531;-107,09213257
2,10571289;-107,96199036
2,13623047;-108,73061371
2,16674805;-104,79193115
2,19726562;-100,85647583
2,22778320;-98,81905365
2,25830078;-98,63526917
2,28881836;-99,22206116
2,31933594;-100,23952484
2,34985352;-101,68191528
2,38037109;-102,77531433
2,41088867;-105,13090515
2,44140625;-114,18075562
2,47192383;-113,25859070
2,50244141;-106,61170959
2,53295898;-106,04330444
2,56347656;-107,57231140
2,59399414;-112,09860229
2,62451172;-111,41464233
2,65502930;-103,84133911
2,68554688;-100,91250610
2,71606445;-101,22608948
2,74658203;-104,45427704
2,77709961;-108,71093750
2,80761719;-108,01281738
2,83813477;-106,90216827
2,86865234;-107,43722534
2,89916992;-107,52842712
2,92968750;-105,67723083
2,96020508;-103,89686584
2,99072266;-103,55291748
3,02124023;-104,87446594
3,05175781;-107,57782745
3,08227539;-113,05828094
3,11279297;-115,01124573
3,14331055;-109,08657837
3,17382812;-109,29949951
3,20434570;-107,42124939
3,23486328;-101,88655090
3,26538086;-100,41848755
3,29589844;-103,00133514
3,32641602;-110,72685242
3,35693359;-126,01860809
3,38745117;-112,42945862
3,41796875;-109,08466339
3,44848633;-109,58464050
3,47900391;-116,39387512
3,50952148;-109,53128815
3,54003906;-103,94054413
3,57055664;-101,93541718
3,60107422;-102,02568054
3,63159180;-104,21990204
3,66210938;-108,82118225
3,69262695;-114,02092743
3,72314453;-110,61595154
3,75366211;-105,70913696
3,78417969;-102,47186279
3,81469727;-101,28550720
3,84521484;-102,28028107
3,87573242;-103,39546204
3,90625000;-103,04803467
3,93676758;-101,87262726
3,96728516;-101,02204895
3,99780273;-102,46408081
4,02832031;-110,33827209
4,05883789;-110,74258423
4,08935547;-103,49509430
4,11987305;-102,84252167
4,15039062;-105,12753296
4,18090820;-112,18600464
4,21142578;-111,87178802
4,24194336;-112,62729645
4,27246094;-121,14796448
4,30297852;-110,91566467
4,33349609;-106,00665283
4,36401367;-108,28675079
4,39453125;-120,06903076
4,42504883;-110,83129883
4,45556641;-109,19274902
4,48608398;-104,93682861
