Frequency;Channel A
(MHz);(dBu)

0,00000000;-73,04896545
0,03051758;-73,35980225
0,06103516;-78,29486084
0,09155273;-86,09154510
0,12207031;-88,53572845
0,15258789;-88,61541748
0,18310547;-90,43186188
0,21362305;-91,76726532
0,24414062;-91,12290192
0,27465820;-90,57686615
0,30517578;-91,70494080
0,33569336;-93,44586182
0,36621094;-93,16768646
0,39672852;-91,86912537
0,42724609;-92,02247620
0,45776367;-93,51357269
0,48828125;-93,45203400
0,51879883;-91,18739319
0,54931641;-90,56520081
0,57983398;-92,88557434
0,61035156;-97,45350647
0,64086914;-100,80480957
0,67138672;-100,81481171
0,70190430;-101,73972321
0,73242188;-103,89997864
0,76293945;-102,25706482
0,79345703;-100,63900757
0,82397461;-101,23831940
0,85449219;-103,24336243
0,88500977;-105,43140411
0,91552734;-107,95303345
0,94604492;-113,22776031
0,97656250;-121,07565308
1,00708008;-106,10356140
1,03759766;-101,70677948
1,06811523;-100,85180664
1,09863281;-101,60278320
1,12915039;-102,30735016
1,15966797;-101,98665619
1,19018555;-100,47748566
1,22070312;-99,15650940
1,25122070;-99,24667358
1,28173828;-100,15852356
1,31225586;-99,68605042
1,34277344;-98,18350220
1,37329102;-98,40561676
1,40380859;-101,06489563
1,43432617;-103,64837646
1,46484375;-102,33023834
1,49536133;-99,99418640
1,52587891;-98,65105438
1,55639648;-98,71116638
1,58691406;-100,78707886
1,61743164;-106,61015320
1,64794922;-106,50310516
1,67846680;-102,52609253
1,70898438;-104,32646942
1,73950195;-115,96833038
1,77001953;-107,77497864
1,80053711;-101,70386505
1,83105469;-98,27629089
1,86157227;-96,41010284
1,89208984;-96,58896637
1,92260742;-98,79240417
1,95312500;-101,06689453
1,98364258;-101,09195709
2,01416016;-101,45513916
2,04467773;-102,93721008
2,07519531;-104,31007385
2,10571289;-105,19393158
2,13623047;-107,10936737
2,16674805;-112,08831787
2,19726562;-115,62996674
2,22778320;-108,19174194
2,25830078;-105,24219513
2,28881836;-105,28664398
2,31933594;-104,90500641
2,34985352;-102,97271729
2,38037109;-102,20704651
2,41088867;-103,22712708
2,44140625;-106,57474518
2,47192383;-112,86337280
2,50244141;-110,84885406
2,53295898;-105,45266724
2,56347656;-102,47407532
2,59399414;-102,07831573
2,62451172;-103,56867981
2,65502930;-104,29496765
2,68554688;-103,99596405
2,71606445;-105,77195740
2,74658203;-107,30401611
2,77709961;-102,27753448
2,80761719;-99,41593933
2,83813477;-99,83483887
2,86865234;-103,15647125
2,89916992;-103,02030945
2,92968750;-100,03706360
2,96020508;-100,15742493
2,99072266;-103,18645477
3,02124023;-106,88597107
3,05175781;-110,33863831
3,08227539;-121,40392303
3,11279297;-108,92192841
3,14331055;-104,53862000
3,17382812;-103,69454956
3,20434570;-102,93412781
3,23486328;-100,81623840
3,26538086;-98,40614319
3,29589844;-97,06012726
3,32641602;-97,23635864
3,35693359;-98,57821655
3,38745117;-99,89591980
3,41796875;-100,61286163
3,44848633;-102,45464325
3,47900391;-106,65249634
3,50952148;-106,53786469
3,54003906;-105,28220367
3,57055664;-107,96554565
3,60107422;-107,34996033
3,63159180;-102,83854675
3,66210938;-100,31521606
3,69262695;-99,33643341
3,72314453;-99,28636169
3,75366211;-100,08280945
3,78417969;-101,69529724
3,81469727;-103,90082550
3,84521484;-108,23020172
3,87573242;-117,15303040
3,90625000;-110,76526642
3,93676758;-110,27870178
3,96728516;-106,92534637
3,99780273;-103,67546082
4,02832031;-103,34361267
4,05883789;-105,01693726
4,08935547;-109,20860291
4,11987305;-109,12431335
4,15039062;-103,66467285
4,18090820;-99,47925568
4,21142578;-97,18672943
4,24194336;-96,71995544
4,27246094;-97,21218872
4,30297852;-99,40776062
4,33349609;-105,82783508
4,36401367;-112,84705353
4,39453125;-114,57315063
4,42504883;-113,03079224
4,45556641;-107,44203186
4,48608398;-101,99813080
